unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent outliers H1975 H2228 HCC827 poor_quality traj total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control pct_counts_top_100_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RaceID2
47844 4175 93907 21450 2786 121 2148 3012 10245 0.998828695950387 0.860614933274168 0.836992838464775 FALSE 0 0 9 NO YES 2887 3.4605971888976 10096 4.00419235625971 18.8490491283677 28.189381933439 39.2135499207607 58.0229793977813 2853 3.45545396877863 9900 3.99567906051162 98.0586370839937 19.1111111111111 28.3939393939394 39.3838383838384 58.2121212121212 34 1.54406804435028 196 2.29446622616159 1.94136291600634 100 100 4 0.698970004336019 12 1.11394335230684 0.118858954041204 14 1.17609125905568 152 2.1846914308176 1.50554675118859 16 1.23044892137827 32 1.51851393987789 0.316957210776545 100 FALSE 2
38437 4691 54154 16735 1546 58 7342 2179 6089 0.997700770245195 0.851371323942566 0.852026848371082 FALSE 0 0 9 NO YES 2075 3.31722734917642 5963 3.77553763478096 20.9793727989267 30.6053999664598 42.3612275700151 62.6362569176589 2042 3.31026836663245 5476 3.73854274092879 91.8329699815529 17.9875821767714 27.2826880934989 39.3718042366691 60.6281957633309 33 1.53147891704226 487 2.68841982200271 8.16703001844709 100 100 4 0.698970004336019 14 1.17609125905568 0.234781150427637 17 1.25527250510331 454 2.65801139665711 7.6136173067248 12 1.11394335230684 19 1.30102999566398 0.31863156129465 100 FALSE 4
48546 3721 74816 11260 2521 106 3368 3031 10255 0.999122378352879 0.855192588147057 0.845342910440848 FALSE 0 0 9 NO YES 2941 3.46864266839151 10159 4.0068937079479 18.082488433901 27.3255241657643 38.9900580765823 57.5155034944384 2905 3.463295609962 9846 3.99330393791947 96.9189880893789 17.6518383099736 26.8840138127158 38.431850497664 57.1602681291895 36 1.56820172406699 313 2.49692964807321 3.08101191062112 100 100 5 0.778151250383644 9 1 0.0885913967910227 17 1.25527250510331 281 2.45024910831936 2.76602027758638 14 1.17609125905568 23 1.38021124171161 0.226400236243725 100 FALSE 3
41542 3773 65922 17251 2508 96 8494 2457 6871 0.998835684763738 0.839033618339349 0.878619009432383 FALSE 0 5 4 NO NO 2379 3.37657695705651 6769 3.83058866868514 17.9642487812085 26.7100014773231 38.4399468163687 58.767912542473 2344 3.3701428470511 6284 3.79830528202198 92.8349830107845 15.1018459579885 23.6791852323361 35.6460852959898 56.7313812858052 35 1.55630250076729 485 2.68663626926229 7.16501698921554 100 100 6 0.845098040014257 8 0.954242509439325 0.118185847244792 19 1.30102999566398 460 2.66370092538965 6.79568621657557 10 1.04139268515822 17 1.25527250510331 0.251144925395184 100 FALSE 4
69819 7486 111410 46151 3460 50 7423 3985 13754 0.99920023193311 0.861422131117186 0.864475160335059 FALSE 0 3 6 NO NO 3830 3.58331215198308 13568 4.13254784246558 15.8903301886792 24.2556014150943 34.4339622641509 51.2087264150943 3787 3.57840997033124 13036 4.11517766552625 96.0790094339623 15.1503528689782 23.3277078858546 33.3537895059834 50.3528689782142 43 1.64345267648619 532 2.72672720902657 3.92099056603774 100 100 4 0.698970004336019 11 1.07918124604762 0.0810731132075472 19 1.30102999566398 479 2.68124123737559 3.53036556603774 20 1.32221929473392 42 1.63346845557959 0.309551886792453 100 FALSE 3
42538 4761 67465 27583 1922 76 5328 2485 7197 0.998888424345021 0.851604834164784 0.849519453217378 FALSE 0 3 6 NO NO 2387 3.37803432245733 7081 3.85015592242209 19.9971755401779 29.2755260556419 40.5309984465471 60.4575624911736 2352 3.37162192717602 6657 3.82334379082065 94.0121451772349 18.4617695658705 27.4147513895148 38.8162836112363 59.1557758750188 35 1.55630250076729 424 2.62838893005031 5.98785482276515 100 100 4 0.698970004336019 8 0.954242509439325 0.112978392882361 19 1.30102999566398 392 2.59439255037543 5.5359412512357 12 1.11394335230684 24 1.39794000867204 0.338935178647084 100 FALSE 3
76002 8076 121702 41116 3949 60 8478 4007 14655 0.999385874446001 0.848584100410383 0.851995324465831 FALSE 0 3 6 NO NO 3836 3.58399179919832 14437 4.15950703747732 17.3858834938007 26.1757982960449 36.7597146221514 53.425226847683 3794 3.5792117802315 13783 4.13937526443997 95.4699729860774 16.4550533265617 24.8131756511645 35.2463179278822 52.1874773271421 42 1.63346845557959 654 2.81624129999178 4.53002701392256 100 100 5 0.778151250383644 9 1 0.0623398212925123 18 1.27875360095283 613 2.78816837114117 4.24603449470112 19 1.30102999566398 32 1.51851393987789 0.221652697928933 100 FALSE 3
72594 7151 115934 44254 3673 25 5454 3648 12204 0.999590297443797 0.862012454226473 0.852670556644906 FALSE 0 3 6 NO NO 3477 3.54132957766669 12012 4.07965147707384 16.5334665334665 24.7335997335997 34.998334998335 52.3892773892774 3438 3.53643217582201 11550 4.06261958385434 96.1538461538462 15.8961038961039 23.9307359307359 34.0692640692641 51.5930735930736 39 1.60205999132796 462 2.66558099101795 3.84615384615385 100 100 1 0.301029995663981 5 0.778151250383644 0.0416250416250416 18 1.27875360095283 407 2.61066016308988 3.38827838827839 20 1.32221929473392 50 1.70757017609794 0.416250416250416 100 FALSE 3
105382 11512 171842 64843 5597 179 19508 4507 17681 0.998699168034218 0.846954357306174 0.865335181644035 FALSE 0 3 6 NO NO 4293 3.63286204010023 17439 4.24154648059655 17.2429611789667 25.9246516428694 36.3094214117782 52.3080451860772 4239 3.62736585659273 16290 4.21194774367943 93.4113194563908 14.9294045426642 23.3210558624923 33.6402701043585 50.2087170042971 54 1.74036268949424 1149 3.06069784035361 6.58868054360915 99.6518711923412 100 7 0.903089986991944 23 1.38021124171161 0.131888296347268 20 1.32221929473392 1057 3.02448566769917 6.06112735822008 27 1.44715803134222 69 1.84509804001426 0.395664889041803 100 FALSE 3
143765 13347 184830 76530 5266 69 9688 5305 22695 0.999162810751636 0.873276051609043 0.859484089233713 FALSE 0 2 7 NO NO 5006 3.69957759139891 22347 4.34923866268813 16.6689041034591 24.831073522173 35.1501320087708 50.713742336779 4953 3.69495600224982 21618 4.33483560152636 96.7378171566653 16.3844944028125 24.368581737441 34.4250161902119 50.0092515496346 53 1.73239375982297 729 2.86332286012046 3.26218284333468 99.5884773662551 100 5 0.778151250383644 19 1.30102999566398 0.0850225981116033 16 1.23044892137827 631 2.80071707828239 2.8236452320222 32 1.51851393987789 79 1.90308998699194 0.353515013200877 100 FALSE 3
47806 4762 63410 28722 1745 72 4095 2274 6512 0.998003683971125 0.852579851270608 0.846896733880937 FALSE 0 2 7 NO NO 2193 3.34123662323869 6417 3.80739971275949 17.9990649836372 27.1933925510363 39.5511921458626 60.2306373694873 2156 3.33385014510255 6144 3.78852188722247 95.7456755493221 17.4641927083333 26.66015625 38.8346354166667 59.7493489583333 37 1.57978359661681 273 2.43775056282039 4.25432445067789 100 100 5 0.778151250383644 13 1.14612803567824 0.202586878603709 18 1.27875360095283 235 2.37291200297011 3.6621474209132 14 1.17609125905568 25 1.41497334797082 0.389590151160979 100 FALSE 3
65966 6678 92238 43382 2809 156 15331 3105 10087 0.997422423914521 0.836621393043897 0.865172137233928 FALSE 0 2 7 NO NO 2977 3.47392469341616 9945 3.99764845489621 21.6088486676722 30.2966314731021 41.0155857214681 58.3408748114631 2925 3.46627432178929 8978 3.95322797155985 90.2765208647562 17.3869458676765 25.9746045889953 36.9570060147026 55.2907106259746 52 1.72427586960079 967 2.98587535730839 9.72347913524384 99.7931747673216 100 7 0.903089986991944 26 1.43136376415899 0.261437908496732 20 1.32221929473392 892 2.95085145888855 8.9693313222725 25 1.41497334797082 49 1.69897000433602 0.49270990447461 100 FALSE 4
88825 9105 140662 48366 5276 170 12127 4409 16928 0.999291114721591 0.839910207443342 0.85054297581346 FALSE 0 2 7 NO NO 4219 3.62531245096167 16708 4.22295045902101 17.7819008858032 26.4543931050994 36.9403878381614 53.3935839118985 4170 3.62024018984583 15754 4.19741840751002 94.2901604022025 16.0530658880284 24.4128475307858 34.7848165545258 51.6821124793703 49 1.69897000433602 954 2.98000337158375 5.70983959779746 100 100 6 0.845098040014257 12 1.11394335230684 0.0718218817333014 19 1.30102999566398 887 2.9484129657786 5.3088340914532 24 1.39794000867204 55 1.7481880270062 0.329183624610965 100 FALSE 3
61893 5949 94213 42583 2195 70 13573 2862 9636 0.999273556455714 0.830116229939688 0.858446597710048 FALSE 0 1 8 NO NO 2771 3.44279322593977 9538 3.9795028487874 20.8324596351436 30.1425875445586 41.0463409519815 59.2996435311386 2732 3.43663963169266 8732 3.94116346015847 91.5495911092472 17.3843334860284 26.3398992212552 37.4942739349519 56.6994961062758 39 1.60205999132796 806 2.90687353472207 8.45040889075278 100 100 3 0.602059991327962 7 0.903089986991944 0.0733906479345775 21 1.34242268082221 769 2.88649072517248 8.06248689452715 15 1.20411998265592 30 1.49136169383427 0.314531348291046 100 FALSE 4
198796 22480 344311 101949 10844 96 20018 6576 35560 0.999690663385914 0.860348706169756 0.85168704958182 FALSE 0 1 8 NO NO 6179 3.79098847508882 35071 4.54496053246826 15.8792164466368 24.3106840409455 34.8236434661116 49.7248438881127 6119 3.78675142214556 33848 4.52954584286172 96.5127883436458 15.6730087449775 23.7887024344127 34.0699598203734 48.8389269676199 60 1.78532983501077 1223 3.08778141780954 3.48721165635425 99.1823385118561 100 6 0.845098040014257 11 1.07918124604762 0.0313649453964814 22 1.36172783601759 1078 3.03302144468291 3.07376464885518 32 1.51851393987789 134 2.13033376849501 0.382082062102592 100 FALSE 3
98885 11213 170633 55995 4904 141 8773 4650 18558 0.998976182240017 0.860868627621043 0.846588615913021 FALSE 0 1 8 NO NO 4394 3.64295887940979 18253 4.26135804619412 15.9973702952939 24.8014025091766 35.4790993261382 51.6901331288007 4347 3.63828953541426 17663 4.2470890560491 96.7676546321153 15.9372699994338 24.5031987771047 34.8978089792221 51.106833493744 47 1.68124123737559 590 2.77158748088126 3.23234536788473 100 100 5 0.778151250383644 19 1.30102999566398 0.10409247794883 18 1.27875360095283 509 2.70757017609794 2.78858269873445 24 1.39794000867204 62 1.79934054945358 0.339670191201446 100 FALSE 3
105563 11158 158641 64927 5320 144 10116 4411 17028 0.999119097369557 0.857293868418315 0.847897082512872 FALSE 0 1 8 NO NO 4202 3.62355939000544 16791 4.22510242557434 17.6701804538145 26.4963373235662 37.055565481508 52.8556965040796 4158 3.61898892036493 15963 4.20314171911199 95.0687868500983 16.4693353379691 25.0454175280336 35.3442335400614 51.3437323811314 44 1.65321251377534 828 2.91855453055027 4.93121314990173 100 100 4 0.698970004336019 15 1.20411998265592 0.0893335715561908 19 1.30102999566398 764 2.88366143515362 4.55005657792865 21 1.34242268082221 49 1.69897000433602 0.29182300041689 100 FALSE 3
32963 3297 46679 19197 1294 48 5340 2809 8414 0.998573804375358 0.836344187263675 0.862846609405028 FALSE 0 4 5 NO NO 2717 3.43424945239648 8305 3.91939192677386 19.2895845875978 28.1878386514148 38.9042745334136 57.471402769416 2686 3.42926766643317 7713 3.88727963453002 92.8717639975918 16.6212887333074 25.2301309477506 36.0171139634384 55.4129391935693 31 1.50514997831991 592 2.77305469336426 7.12823600240819 100 100 4 0.698970004336019 12 1.11394335230684 0.144491270319085 18 1.27875360095283 554 2.74429298312268 6.67068031306442 9 1 26 1.43136376415899 0.313064419024684 100 FALSE 4
235184 26076 368395 145271 11833 66 26374 6806 36828 0.99956554768123 0.860540892565292 0.857173656681423 FALSE 0 4 5 NO NO 6379 3.80482067872116 36314 4.56008604849741 16.1397808007931 24.8554276587542 34.6092416148042 49.3143140386628 6316 3.80051087689437 34629 4.53945249154946 95.35991628573 15.1520401975223 23.506309740391 32.9839152155708 47.9049351699443 63 1.80617997398389 1685 3.22685757028872 4.64008371426998 99.1097922848665 100 3 0.602059991327962 16 1.23044892137827 0.0440601420939583 23 1.38021124171161 1538 3.18723861983148 4.23528115878174 37 1.57978359661681 131 2.12057393120585 0.360742413394283 100 FALSE 3
71883 7075 112146 41942 3541 34 11931 3528 11536 0.998959777220042 0.841539527703242 0.875259296758585 FALSE 0 4 5 NO NO 3363 3.52685598712587 11338 4.05457475529482 16.9253836655495 24.8280119950609 35.2002116775445 52.7694478744047 3317 3.52087638168834 10672 4.02828650942628 94.1259481390016 14.9643928035982 22.7136431784108 33.0678410794603 51.2368815592204 46 1.67209785793572 666 2.82412583391655 5.87405186099841 100 100 4 0.698970004336019 12 1.11394335230684 0.105838772270242 20 1.32221929473392 602 2.78031731214015 5.30957840889046 22 1.36172783601759 52 1.72427586960079 0.458634679837714 100 FALSE 3
61818 5382 107387 21394 2896 151 8043 3372 11340 0.997619046739313 0.850440916357636 0.864373135473426 FALSE 0 8 1 NO NO 3231 3.50947135210255 11177 4.04836410527989 17.294443947392 25.9819271718708 36.888252661716 54.4153171691867 3189 3.50379068305718 10582 4.02460879612656 94.6765679520444 15.8665658665659 24.3904743904744 35.1256851256851 53.0996030996031 42 1.63346845557959 595 2.77524625974024 5.32343204795562 100 100 5 0.778151250383644 24 1.39794000867204 0.214726670841907 17 1.25527250510331 535 2.72916478969277 4.78661537085085 20 1.32221929473392 36 1.56820172406699 0.322090006262861 100 FALSE 1
108502 11009 134845 48233 5275 80 18262 4059 14372 0.999165042444221 0.833147786784617 0.861048663339366 FALSE 0 8 1 NO NO 3887 3.58972625625424 14164 4.15121657885646 20.149675232985 28.7560011296244 39.049703473595 55.0550691894945 3835 3.58387859849863 12936 4.11183357814885 91.330132730867 16.1255411255411 24.6830550401979 35.1345083487941 52.0176252319109 52 1.72427586960079 1228 3.08955188288645 8.66986726913301 99.8371335504886 100 6 0.845098040014257 12 1.11394335230684 0.0847218299915278 21 1.34242268082221 1166 3.06707085604537 8.23213781417679 25 1.41497334797082 50 1.70757017609794 0.353007624964699 100 FALSE 4
26394 2069 42254 12397 906 104 2534 1961 5233 0.99617809861231 0.848270588862468 0.846549118002832 FALSE 0 7 2 NO NO 1897 3.27829620809127 5164 3.71307032585564 18.009295120062 27.9047250193648 40.9372579395817 63.4972889233153 1870 3.27207378750001 4944 3.6941662959332 95.7397366382649 17.6779935275081 27.3260517799353 40.2508090614887 63.207928802589 27 1.44715803134222 220 2.34439227368511 4.26026336173509 100 100 3 0.602059991327962 20 1.32221929473392 0.387296669248644 16 1.23044892137827 187 2.27415784926368 3.62122385747483 8 0.954242509439325 13 1.14612803567824 0.251742835011619 100 FALSE 3
44511 4224 69852 23560 2432 66 7113 2739 9006 0.997779257164358 0.830113256906381 0.854207357087101 FALSE 0 7 2 NO NO 2637 3.42127479121035 8883 3.94860854987644 19.9031858606327 29.2806484295846 40.8645727794664 59.720815039964 2598 3.41480627950101 8222 3.91503029025916 92.5588202183947 17.2099245925566 26.4047676964242 38.0929214303089 57.7231817076137 39 1.60205999132796 661 2.8208579894397 7.44117978160531 100 100 6 0.845098040014257 20 1.32221929473392 0.225149161319374 21 1.34242268082221 617 2.79098847508882 6.94585162670269 12 1.11394335230684 24 1.39794000867204 0.270178993583249 100 FALSE 1
42195 3771 68491 26929 2092 176 6937 2517 7803 0.996411635273085 0.833397410184035 0.847493467264556 FALSE 0 7 2 NO NO 2439 3.38738982633873 7714 3.88733593039917 20.6507648431423 29.7122115633912 41.1200414830179 60.5781695618356 2405 3.38129562300383 7125 3.852845818015 92.3645320197044 17.9087719298246 26.7929824561404 38.3578947368421 58.7228070175439 34 1.54406804435028 589 2.77085201164214 7.63546798029557 100 100 5 0.778151250383644 28 1.46239799789896 0.362976406533575 20 1.32221929473392 541 2.73399928653839 7.01322271195229 9 1 20 1.32221929473392 0.259268861809697 100 FALSE 3
