unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent outliers H1975 H2228 HCC827 poor_quality traj total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RaceID2
33583 3215 66789 25728 2714 92 10797 1904 4667 0.999357186630904 0.834154701448137 0.876792635970354 FALSE 7 2 0 NO NO 1794 3.25406445291434 4545 3.65762943138895 21.9141914191419 30.957095709571 42.8382838283828 64.5324532453245 1764 3.24674470972384 4149 3.61804809671209 91.2871287128713 17.8115208483972 26.8739455290431 39.1660641118342 62.3041696794408 30 1.49136169383427 396 2.59879050676312 8.71287128712871 100 3 0.602059991327962 3 0.602059991327962 0.066006600660066 18 1.27875360095283 378 2.57863920996807 8.31683168316832 9 1 15 1.20411998265592 0.33003300330033 100 FALSE 3
127346 9642 245172 89101 7882 141 19070 3982 12807 0.999141093933676 0.871398453290077 0.874755309787374 FALSE 0 0 9 NO YES 3665 3.5641924606262 12452 4.09527398809818 16.4150337295214 24.48602634115 34.5406360424028 50.8914230645679 3622 3.55906833403454 11973 4.07823925380967 96.1532283970447 15.7354046604861 23.5362899858014 33.3583897101812 49.9373590578802 43 1.64345267648619 479 2.68124123737559 3.84677160295535 100 6 0.845098040014257 11 1.07918124604762 0.088339222614841 18 1.27875360095283 428 2.63245729218472 3.43719884355927 19 1.30102999566398 40 1.61278385671974 0.32123353678124 100 FALSE 1
92907 6352 165419 64658 5222 152 13273 3136 9162 0.998908534164038 0.864003491744157 0.875681209690887 FALSE 0 0 9 NO YES 2908 3.46374372124706 8901 3.9494875899465 17.8182226716099 26.0195483653522 36.4341085271318 54.5219638242894 2876 3.45893986189033 8473 3.92808845966497 95.1915515110662 16.2988315826744 24.2771155434911 34.6276407411779 53.1924938038475 32 1.51851393987789 428 2.63245729218472 4.80844848893383 100 4 0.698970004336019 10 1.04139268515822 0.112346927311538 15 1.20411998265592 397 2.59988307207369 4.46017301426806 13 1.14612803567824 21 1.34242268082221 0.23592854735423 100 FALSE 1
100815 9876 186839 62798 5921 133 22192 3151 9431 0.998621566113221 0.858021417815691 0.88739170035871 FALSE 0 0 9 NO YES 2882 3.45984464238821 9135 3.96075609090177 18.1718664477285 26.5243568691845 37.3617952928298 55.1943076081007 2853 3.45545396877863 8640 3.93656400513527 94.5812807881773 16.3541666666667 24.4675925925926 35.4166666666667 53.6574074074074 29 1.47712125471966 495 2.6954816764902 5.41871921182266 100 5 0.778151250383644 13 1.14612803567824 0.142309797482211 17 1.25527250510331 461 2.66464197555613 5.04652435686918 7 0.903089986991944 21 1.34242268082221 0.229885057471264 100 FALSE 1
86789 9296 157170 67028 5906 58 16403 3434 10403 0.999038737865002 0.851965778283221 0.889742487991456 FALSE 0 0 9 NO YES 3208 3.5063697170955 10142 4.00616642548543 18.6945375665549 26.6416880299744 36.7481759021889 53.9538552553737 3163 3.50023647482564 9361 3.97136863679142 92.2993492407809 15.2761457109283 23.0424099989317 33.3404550795855 51.3299861125948 45 1.66275783168157 781 2.89320675305985 7.70065075921909 100 5 0.778151250383644 10 1.04139268515822 0.098599881680142 19 1.30102999566398 719 2.85733249643127 7.08933149280221 21 1.34242268082221 52 1.72427586960079 0.512719384736738 100 FALSE 1
74496 5142 123652 40172 4281 37 3433 3037 8441 0.999526121313202 0.866485012597459 0.865654702458592 FALSE 0 0 9 NO YES 2882 3.45984464238821 8256 3.91682228459591 16.703003875969 25.0242248062016 35.5256782945736 53.500484496124 2852 3.45530177165708 7993 3.90276414392409 96.8144379844961 16.3768297260103 24.3838358563743 34.8054547729263 52.9713499311898 30 1.49136169383427 263 2.42160392686983 3.18556201550388 100 3 0.602059991327962 4 0.698970004336019 0.0484496124031008 16 1.23044892137827 238 2.37839790094814 2.8827519379845 11 1.07918124604762 21 1.34242268082221 0.254360465116279 100 FALSE 1
78420 7149 154320 49287 3963 106 1902 3239 9340 0.999250534262044 0.879443253876399 0.873767801105138 FALSE 0 0 9 NO YES 2997 3.47683162851226 9060 3.95717613040485 15.1655629139073 22.8587196467991 33.0684326710817 51.0264900662252 2965 3.47217114669236 8968 3.9527440240149 98.9845474613686 15.2988403211418 23.0151650312221 33.2292595896521 51.2488849241748 32 1.51851393987789 92 1.96848294855394 1.01545253863135 100 4 0.698970004336019 7 0.903089986991944 0.0772626931567329 14 1.17609125905568 63 1.80617997398389 0.695364238410596 14 1.17609125905568 22 1.36172783601759 0.242825607064018 100 FALSE 1
53119 4367 98964 27492 3136 63 2230 2254 5576 0.999282638093109 0.878228118941485 0.863162010111173 FALSE 0 0 9 NO YES 2095 3.32139127831169 5403 3.73271534034999 18.3046455672774 26.7999259670553 38.423098278734 59.3744216176198 2069 3.31597034545692 5304 3.72468538823736 98.1676846196557 18.3823529411765 26.9419306184012 38.5558069381599 59.577677224736 26 1.43136376415899 99 2 1.83231538034425 100 4 0.698970004336019 4 0.698970004336019 0.0740329446603739 12 1.11394335230684 78 1.89762709129044 1.44364242087729 10 1.04139268515822 17 1.25527250510331 0.314640014806589 100 FALSE 2
29390 3035 49409 16491 2624 57 8628 1430 3202 0.998750777642877 0.854465956107227 0.885069065992923 FALSE 0 0 9 NO YES 1374 3.13830269816628 3142 3.49734438101758 21.6422660725652 31.4449395289624 45.3214513049013 68.364099299809 1350 3.13065534902203 2879 3.45939248775923 91.6295353278167 17.9923584577978 27.8916290378604 42.2368878082668 66.8634942688434 24 1.39794000867204 263 2.42160392686983 8.37046467218332 100 2 0.477121254719662 4 0.698970004336019 0.127307447485678 17 1.25527250510331 254 2.40654018043396 8.08402291534055 5 0.778151250383644 5 0.778151250383644 0.159134309357097 100 FALSE 1
38465 1895 52968 12957 3875 233 2442 1907 4425 0.998644065539787 0.86146892460685 0.878642082164786 FALSE 0 0 9 NO YES 1808 3.25743856685981 4319 3.63548374681491 18.2681176198194 27.3905996758509 39.8240333410512 61.6809446631165 1780 3.25066391946324 4138 3.61689542640076 95.8092150960871 17.7863702271629 26.6312228129531 39.0526824552924 61.164813919768 28 1.46239799789896 181 2.26007138798507 4.19078490391294 100 3 0.602059991327962 6 0.845098040014257 0.138921046538551 13 1.14612803567824 152 2.1846914308176 3.51933317897661 12 1.11394335230684 23 1.38021124171161 0.532530678397777 100 FALSE 1
38062 2874 68737 22923 1888 33 7013 1672 3679 0.998097306338414 0.850231038732723 0.893990502879851 FALSE 0 5 4 NO NO 1579 3.19865708695442 3572 3.55303301620244 18.7290033594625 27.2116461366181 39.5856662933931 62.9339305711086 1556 3.19228861256812 3291 3.51745982654023 92.1332586786114 14.9802491643877 23.5186873290793 36.6150106350653 61.0452749924035 23 1.38021124171161 281 2.45024910831936 7.86674132138858 100 2 0.477121254719662 7 0.903089986991944 0.195968645016797 16 1.23044892137827 265 2.42488163663107 7.41881298992161 5 0.778151250383644 9 1 0.251959686450168 100 FALSE 5
58651 5069 93338 46046 2230 22 3762 2622 6284 0.999681729790449 0.867600253234245 0.890036775880369 FALSE 0 3 6 NO NO 2468 3.39252108993193 6108 3.78597012513201 15.3896529142109 23.3955468238376 34.0045841519319 53.1761624099542 2436 3.38685552918472 5890 3.77018902273599 96.4309102815979 14.9915110356537 22.7164685908319 33.1918505942275 52.6315789473684 32 1.51851393987789 218 2.34044411484012 3.5690897184021 100 1 0.301029995663981 1 0.301029995663981 0.0163719711853307 16 1.23044892137827 189 2.27875360095283 3.09430255402751 15 1.20411998265592 28 1.46239799789896 0.45841519318926 100 FALSE 1
44355 4088 68685 39192 3237 175 3636 1656 3746 0.995728774704408 0.867859047336201 0.86118296534179 FALSE 0 3 6 NO NO 1552 3.19117145572856 3629 3.55990662503611 19.3717277486911 28.9060347203086 41.9399283549187 64.8387985670984 1519 3.18184358794477 3432 3.53567380342575 94.5715073022871 18.4149184149184 27.972027972028 41.1130536130536 64.4230769230769 33 1.53147891704226 197 2.29666519026153 5.42849269771287 100 4 0.698970004336019 16 1.23044892137827 0.440892807936071 16 1.23044892137827 162 2.21218760440396 4.46403968035271 13 1.14612803567824 19 1.30102999566398 0.523560209424084 100 FALSE 1
63045 6504 106231 54767 3578 159 9680 2670 6978 0.9981370005759 0.856262538182484 0.88048025153303 FALSE 0 3 6 NO NO 2487 3.39585037601878 6765 3.83033199345196 18.1226903178123 26.3710273466371 36.9549150036955 56.2305986696231 2453 3.38987455839099 6379 3.80482067872116 94.2941611234294 16.2251136541778 24.1417150023515 34.8643988085907 54.695093274808 34 1.54406804435028 386 2.58771096501891 5.70583887657058 100 5 0.778151250383644 12 1.11394335230684 0.177383592017738 17 1.25527250510331 357 2.55388302664387 5.27716186252772 12 1.11394335230684 17 1.25527250510331 0.251293422025129 100 FALSE 1
69122 5665 118104 56670 5080 25 6453 2563 6704 0.999403339798026 0.868735082236374 0.884545219950448 FALSE 0 3 6 NO NO 2386 3.37785241900675 6505 3.81331405894583 16.0799385088394 24.2890084550346 35.5726364335127 55.695618754804 2358 3.3727279408856 6296 3.79913369330206 96.7870868562644 15.4860228716645 23.6022871664549 34.8634053367217 55.1778907242694 28 1.46239799789896 209 2.32221929473392 3.21291314373559 100 2 0.477121254719662 4 0.698970004336019 0.0614911606456572 16 1.23044892137827 190 2.28103336724773 2.92083013066872 10 1.04139268515822 15 1.20411998265592 0.230591852421214 100 FALSE 1
92878 8647 164002 71883 3008 143 16857 3272 9437 0.999046306030469 0.867118786831494 0.888734885307952 FALSE 0 3 6 NO NO 3027 3.48115587082804 9154 3.96165834863772 16.4081275944942 24.5466462748525 34.935547301726 53.2226349136989 2990 3.47581641303132 8613 3.93520486742658 94.0900152938606 14.2459073493556 22.1990015093463 32.590270521305 51.4338790200859 37 1.57978359661681 541 2.73399928653839 5.90998470613939 100 3 0.602059991327962 9 1 0.0983176753331877 19 1.30102999566398 500 2.69983772586725 5.46209307406598 15 1.20411998265592 32 1.51851393987789 0.349573956740223 100 FALSE 1
129702 9499 147922 115645 5619 28 8237 3595 10642 0.999624129863161 0.876526967791273 0.873707128634534 FALSE 0 2 7 NO NO 3321 3.52139962811538 10323 4.01384799587183 15.9740385546837 23.8884045335658 34.1857987019277 51.9810132713359 3288 3.51706387348265 10043 4.00190670404089 97.287610190836 15.8418799163597 23.568654784427 33.6851538384945 51.5981280493876 33 1.53147891704226 280 2.44870631990508 2.712389809164 100 3 0.602059991327962 4 0.698970004336019 0.0387484258452 16 1.23044892137827 247 2.39445168082622 2.3927152959411 14 1.17609125905568 29 1.47712125471966 0.2809260873777 100 FALSE 2
44537 3284 69736 40370 2322 281 4146 1556 3394 0.996758983509844 0.885385972641762 0.870062256740552 FALSE 0 2 7 NO NO 1474 3.16879202031418 3305 3.51930284923543 19.0620272314675 27.6550680786687 40.4236006051437 64.357034795764 1450 3.16166741243774 3192 3.50419891853945 96.5809379727685 18.452380952381 27.1616541353383 40.2255639097744 64.3796992481203 24 1.39794000867204 113 2.05690485133647 3.41906202723147 100 6 0.845098040014257 11 1.07918124604762 0.332829046898638 15 1.20411998265592 98 1.99563519459755 2.96520423600605 3 0.602059991327962 4 0.698970004336019 0.121028744326778 100 FALSE 1
55278 4354 86931 49700 1967 48 15899 1993 4856 0.998970343906569 0.830107082310323 0.895385306043439 FALSE 0 2 7 NO NO 1878 3.27392678010053 4727 3.6746774678732 22.3397503702137 30.9075523587899 42.0985826105352 62.7459276496721 1850 3.2674064187529 4213 3.62469453127208 89.1262957478316 16.5440303821505 25.0415380963684 36.9807737953952 59.3401376691194 28 1.46239799789896 514 2.71180722904119 10.8737042521684 100 3 0.602059991327962 5 0.778151250383644 0.1057753331923 16 1.23044892137827 489 2.69019608002851 10.3448275862069 9 1 20 1.32221929473392 0.423101332769198 100 FALSE 6
72547 5441 114449 54095 3047 102 10948 2907 7938 0.998992188209886 0.854371377104596 0.878431748007372 FALSE 0 2 7 NO NO 2732 3.43663963169266 7729 3.88817949391832 19.7438219692069 28.1019536809419 38.1679389312977 56.4885496183206 2695 3.43071988786328 7274 3.86183299765794 94.1130806055117 17.6244157272477 25.7217486939786 35.8674731921914 54.797910365686 37 1.57978359661681 455 2.65896484266444 5.88691939448829 100 3 0.602059991327962 8 0.954242509439325 0.103506275067926 15 1.20411998265592 416 2.62013605497376 5.38232630353215 19 1.30102999566398 31 1.50514997831991 0.401086815888213 100 FALSE 1
30669 1987 47133 20079 2141 133 3599 1383 2841 0.996128120393776 0.877507916657839 0.874688931049169 FALSE 0 5 4 NO NO 1297 3.11327469246435 2745 3.43870053290074 18.5792349726776 28.8524590163934 42.8051001821494 68.1238615664845 1270 3.10414555055401 2587 3.41296427199666 94.2440801457195 17.7039041360649 28.0247390800155 41.9018167761886 68.1097796675686 27 1.44715803134222 158 2.20139712432045 5.75591985428051 100 4 0.698970004336019 11 1.07918124604762 0.400728597449909 15 1.20411998265592 132 2.12385164096709 4.80874316939891 8 0.954242509439325 15 1.20411998265592 0.546448087431694 100 FALSE 7
54484 4141 84832 43710 2188 25 8124 2069 5035 0.999205559087973 0.866137038994763 0.855807634940149 FALSE 0 1 8 NO NO 1948 3.28981183911762 4902 3.69046189324618 18.7066503467972 28.1313749490004 40.2284781721746 61.4035087719298 1925 3.28465628278852 4663 3.66875854175096 95.124439004488 17.2850096504396 26.6137679605404 38.7733218957753 60.5189791979412 23 1.38021124171161 239 2.38021124171161 4.87556099551204 100 3 0.602059991327962 4 0.698970004336019 0.0815993472052224 16 1.23044892137827 229 2.36172783601759 4.67156262749898 4 0.698970004336019 6 0.845098040014257 0.122399020807834 100 FALSE 1
187404 16467 348175 138236 9984 163 21217 4929 18808 0.999361973096894 0.870267970613426 0.877711145410918 FALSE 0 1 8 NO NO 4481 3.65147185219904 18259 4.26150077319828 15.4937291198861 23.363820581631 33.5943918067802 49.7453310696095 4439 3.64738297011462 17638 4.24647396022934 96.5989375102689 14.9450051026193 22.632951581812 32.6567638054201 48.8774237441887 42 1.63346845557959 621 2.79379038469082 3.40106248973109 100 3 0.602059991327962 12 1.11394335230684 0.0657210142943206 18 1.27875360095283 548 2.73957234445009 3.00125965277397 21 1.34242268082221 61 1.79239168949825 0.334081822662796 100 FALSE 1
100561 8469 165828 70385 5379 17 12066 3274 9553 0.999685961478398 0.874699046504031 0.86925482125529 FALSE 0 1 8 NO NO 3033 3.48201557645071 9290 3.96806246007645 16.221743810549 24.2518837459634 34.8977395048439 53.2508073196986 3000 3.47726599542485 8973 3.95298606519706 96.5877287405813 15.5354953750139 23.5038448679371 34.1023069207623 52.5911066532932 33 1.53147891704226 317 2.50242711998443 3.41227125941873 100 2 0.477121254719662 3 0.602059991327962 0.0322927879440258 16 1.23044892137827 278 2.4456042032736 2.99246501614639 15 1.20411998265592 36 1.56820172406699 0.38751345532831 100 FALSE 1
198756 31369 193027 315545 6029 39 15776 3770 10597 0.999716900066324 0.872605453550434 0.89676238863604 FALSE 0 1 8 NO NO 3420 3.53415307418506 10161 4.00697919057428 15.3921858084834 22.7438244267297 32.4377521897451 49.4734770199784 3383 3.52943035436699 9694 3.98654781341472 95.4039956697175 13.771404992779 20.9201567980194 30.647823395915 48.0090777800702 37 1.57978359661681 467 2.67024585307412 4.59600433028245 100 2 0.477121254719662 3 0.602059991327962 0.0295246530853262 16 1.23044892137827 424 2.62838893005031 4.17281763605944 19 1.30102999566398 40 1.61278385671974 0.393662041137683 100 FALSE 1
33017 3025 48779 24980 2140 154 6135 1491 3318 0.996684746845435 0.828511148798942 0.878538642137908 FALSE 0 4 5 NO NO 1401 3.14674801363064 3217 3.50758603976301 24.3083618277899 33.758159776189 46.8138016785825 68.8840534659621 1374 3.13830269816628 2849 3.45484486000851 88.5607709045695 18.4626184626185 28.3257283257283 42.0849420849421 66.4443664443664 27 1.44715803134222 368 2.56702636615906 11.4392290954305 100 3 0.602059991327962 11 1.07918124604762 0.341933478396021 19 1.30102999566398 350 2.54530711646582 10.8797015853279 5 0.778151250383644 7 0.903089986991944 0.217594031706559 100 FALSE 6
23672 5601 27622 22272 714 121 2790 1429 2716 0.99668629971765 0.841310748006956 0.896903914197665 FALSE 0 4 5 NO NO 1363 3.13481437032046 2642 3.42209716313171 19.8713096139288 28.8796366389099 41.5972747918244 66.3890991672975 1334 3.12548126570059 2437 3.38703370128236 92.2407267221802 16.8649979482971 26.015592942142 39.3106278210915 65.5313910545753 29 1.47712125471966 205 2.31386722036915 7.75927327781983 100 4 0.698970004336019 9 1 0.340651021953066 15 1.20411998265592 181 2.26007138798507 6.85087055261166 10 1.04139268515822 15 1.20411998265592 0.56775170325511 100 FALSE 1
216126 22723 358878 185233 12430 111 32828 5161 19454 0.999485966382499 0.871286110377667 0.877248443894087 FALSE 0 4 5 NO NO 4677 3.67006021747313 18901 4.27650775882986 15.9885720332258 23.7923919369346 33.8288979419078 49.822760700492 4621 3.66482994114309 18019 4.25575478664304 95.3335802338501 14.562406348854 22.1543925856041 32.1826960430656 48.4155613519063 56 1.75587485567249 882 2.94596070357757 4.66641976614994 99.3197278911565 5 0.778151250383644 10 1.04139268515822 0.0529072535844664 20 1.32221929473392 796 2.90145832139611 4.21141738532353 31 1.50514997831991 76 1.88649072517248 0.402095127241945 100 FALSE 1
62022 5854 103198 46158 5142 11 11599 2323 5776 0.998961217107062 0.858898890479746 0.885040018975036 FALSE 0 4 5 NO NO 2184 3.33945144130644 5624 3.7501225267834 17.9765291607397 26.0846372688478 37.6955903271693 58.2503556187767 2158 3.33425264233423 5260 3.72106830179716 93.5277382645804 15.0380228136882 23.2319391634981 35.0380228136882 56.5209125475285 26 1.43136376415899 364 2.56229286445647 6.47226173541963 100 3 0.602059991327962 6 0.845098040014257 0.106685633001422 17 1.25527250510331 346 2.54032947479087 6.15220483641536 6 0.845098040014257 12 1.11394335230684 0.213371266002845 100 FALSE 3
58019 3932 111510 28678 2560 275 9200 2439 5811 0.997418686977424 0.850972292460898 0.890034606720691 FALSE 0 8 1 NO NO 2233 3.34908316877959 5570 3.74593315845944 17.1633752244165 25.3680430879713 36.5350089766607 56.6427289048474 2203 3.34321159017975 5244 3.71974549252958 94.1472172351885 14.7597254004577 23.0167810831426 34.3821510297483 55.2631578947368 30 1.49136169383427 326 2.51454775266029 5.85278276481149 100 5 0.778151250383644 15 1.20411998265592 0.269299820466786 16 1.23044892137827 296 2.47275644931721 5.31418312387792 9 1 15 1.20411998265592 0.269299820466786 100 FALSE 3
97985 11335 137302 55136 3524 170 28667 2715 7344 0.997685183826681 0.843409584908211 0.88071775501395 FALSE 0 8 1 NO NO 2541 3.40517554621799 7135 3.85345484136807 20.1261387526279 28.5914505956552 39.5094604064471 57.645409950946 2501 3.3982873053574 6444 3.80922292168942 90.3153468815697 15.1458721291124 23.820608317815 35.1644941030416 54.5313469894475 40 1.61278385671974 691 2.84010609445676 9.68465311843027 100 7 0.903089986991944 17 1.25527250510331 0.238262088297127 17 1.25527250510331 640 2.80685802951882 8.96986685353889 16 1.23044892137827 34 1.54406804435028 0.476524176594254 100 FALSE 5
20313 1485 31410 14884 1776 26 1617 1251 2388 0.998324953943363 0.851340029935762 0.865574264764385 FALSE 0 7 2 NO NO 1191 3.07627625540422 2324 3.36642295722597 18.5456110154905 28.7865748709122 43.6746987951807 70.2667814113597 1172 3.06929801211553 2230 3.34849957028384 95.9552495697074 17.9820627802691 27.9820627802691 43.1390134529148 69.8654708520179 19 1.30102999566398 94 1.97772360528885 4.0447504302926 100 3 0.602059991327962 4 0.698970004336019 0.172117039586919 12 1.11394335230684 83 1.92427928606188 3.57142857142857 4 0.698970004336019 7 0.903089986991944 0.301204819277108 100 FALSE 1
