unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent H1975 H2228 HCC827 poor_quality traj total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control pct_counts_top_100_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RCA
12488 40 318 902 10 2 34 230 268 0.992537276397863 0.783582060314102 0.921607402708854 NA NA NA NO NO 226 2.35602585719312 264 2.42324587393681 33.3333333333333 52.2727272727273 90.1515151515152 100 214 2.33243845991561 233 2.36921585741014 88.2575757575758 29.6137339055794 51.0729613733906 93.9914163090129 100 12 1.11394335230684 31 1.50514997831991 11.7424242424242 100 100 2 0.477121254719662 2 0.477121254719662 0.757575757575758 10 1.04139268515822 29 1.47712125471966 10.9848484848485 0 0 0 0 0 NA FALSE 1
390057 37115 620847 217933 17262 532 69646 9393 73289 0.998703761683376 0.84730314223863 0.864508880663008 0 0 9 NO YES 9088 3.95851610342304 72956 4.86306696744985 17.4694336312298 25.8594221174407 35.7091945830363 49.6340259882669 9006 3.95458016274376 68692 4.83691248354771 94.1553813257306 15.5971583299365 23.6242939498049 33.3721539626157 47.5630349967973 82 1.91907809237607 4264 3.62991903550354 5.84461867426942 98.3348968105066 100 12 1.11394335230684 95 1.98227123303957 0.130215472339492 26 1.43136376415899 3938 3.59538598080914 5.39777400076759 44 1.65321251377534 231 2.3654879848909 0.316629201162344 100 FALSE 1
411062 43531 666140 242008 22062 319 75809 10197 94490 0.999163932585547 0.843009842222139 0.873616163232494 0 0 9 NO YES 9885 3.99502060612476 94146 4.97380648575254 17.4197522996197 25.2278376139188 34.9138572005183 48.0976355872793 9791 3.99087140480149 87686 4.94293521198914 93.1383170819791 14.5929794950163 22.1574709759825 31.7678990944963 45.3470337340054 94 1.97772360528885 6460 3.81029974104017 6.86168291802095 98.405572755418 100 14 1.17609125905568 79 1.90308998699194 0.0839122214432902 27 1.44715803134222 6042 3.78125259424846 6.4176916703843 53 1.73239375982297 339 2.53147891704225 0.360079026193359 99.1150442477876 FALSE 1
341193 26763 515216 139927 16375 238 22282 9400 75369 0.999416205469169 0.858363518043444 0.859385044330555 0 0 9 NO YES 9201 3.96388222892878 75159 4.87598677142849 15.3501244029324 23.499514362884 33.3093841056959 46.8673079737623 9124 3.96023287312851 72692 4.86149259232065 96.7176253010285 15.0319154790073 23.0382985748088 32.4217245364002 45.9390304297584 77 1.89209460269048 2467 3.3923451553612 3.28237469897151 98.4596676124848 100 8 0.954242509439325 44 1.65321251377534 0.058542556446999 25 1.41497334797082 2187 3.34004731766139 2.90983115794516 44 1.65321251377534 236 2.3747483460101 0.314000984579358 100 FALSE 1
331658 29770 572476 154414 17065 421 9178 9582 75926 0.998972683797517 0.869056713000941 0.859942462405176 0 0 9 NO YES 9296 3.96834283095895 75617 4.8786251866413 14.7784228414245 22.6364441858312 32.2467170080802 46.0637158310962 9211 3.96435392929219 74205 4.87043902201141 98.1326950288956 14.8979179300586 22.7787884913416 32.2741055184961 45.9995957145745 85 1.93449845124357 1412 3.15014216184856 1.86730497110438 96.2464589235127 100 10 1.04139268515822 78 1.89762709129044 0.103151407752225 20 1.32221929473392 1040 3.01745072951054 1.375352103363 55 1.7481880270062 294 2.46982201597816 0.388801459989156 98.2993197278912 FALSE 1
184175 15528 336280 83792 11318 380 7258 7362 44671 0.998634460612336 0.866356248826676 0.839313908505762 0 0 9 NO YES 7204 3.85763398515001 44504 4.64840880537252 17.1535142908503 26.1414704296243 36.1405716340104 50.777458206004 7138 3.85363738195859 43634 4.63983498030274 98.0451195398166 17.4221937021589 26.4083054498785 36.2400880047669 50.731081266902 66 1.82607480270083 870 2.94001815500766 1.95488046018335 98.0459770114943 100 9 1 61 1.79239168949825 0.137066331116304 16 1.23044892137827 661 2.8208579894397 1.48525975193241 41 1.6232492903979 148 2.17318626841227 0.33255437713464 100 FALSE 1
140081 15987 193064 57649 6668 300 30697 5811 27102 0.997269573833197 0.844402626800826 0.857168896329092 0 0 9 NO YES 5703 3.75617951684381 26986 4.43115460905224 20.3438820128956 28.8557029570889 39.1684577188172 53.1053138664493 5638 3.75120209458835 24587 4.39072320444882 91.1102052916327 16.4517834628055 24.7773213486802 35.1689917436043 49.7458006263473 65 1.81954393554187 2399 3.38021124171161 8.8897947083673 99.3747394747812 100 12 1.11394335230684 74 1.8750612633917 0.27421626028311 25 1.41497334797082 2255 3.3533390953113 8.35618468835693 28 1.46239799789896 70 1.85125834871908 0.259393759727266 100 FALSE 1
178950 11697 261556 45611 11714 495 15400 7304 43620 0.998670334479901 0.85041265455057 0.849999805135304 0 0 9 NO YES 7178 3.8560639533331 43487 4.6383694350524 17.5362752086831 26.2653206705452 36.5902453606825 50.9508588773656 7110 3.85193067864027 41886 4.62207925675411 96.3184399935613 17.0987919591272 25.5359786086043 35.5966193955021 50.0095497302201 68 1.83884909073726 1601 3.20466251174822 3.68156000643871 98.8757026858214 100 10 1.04139268515822 58 1.77085201164214 0.13337319198841 22 1.36172783601759 1424 3.15381486434453 3.27454181709476 36 1.56820172406699 119 2.07918124604762 0.273644997355532 100 FALSE 1
152719 12788 236694 69431 7139 347 30254 6300 29899 0.997759122044965 0.833573028919505 0.888223389336303 0 5 4 NO NO 6176 3.79077760133769 29755 4.47357455003634 17.7213913627962 25.1520752814653 34.532011426651 49.309359771467 6113 3.78632543439007 27385 4.43752860382068 92.0349521088893 13.9346357494979 21.2452072302355 30.750410808837 46.120138762096 63 1.80617997398389 2370 3.37493155397819 7.96504789111074 99.4514767932489 100 11 1.07918124604762 67 1.83250891270624 0.225172239959671 24 1.39794000867204 2214 3.34537373055909 7.4407662577718 28 1.46239799789896 89 1.95424250943932 0.299109393379264 100 FALSE 1
256321 25102 385169 164325 10924 236 22499 8939 57086 0.999071576043326 0.856409627429421 0.871754743412615 0 3 6 NO NO 8731 3.9411137270371 56852 4.75475338633369 14.4568352916344 22.0326461690002 31.5907971575318 45.2824878632238 8652 3.93716670371503 54551 4.73681067743658 95.9526489833251 13.6881083756485 21.0720243441917 30.2542574838225 44.0285237667504 79 1.90308998699194 2301 3.36210531929377 4.04735101667487 98.2181660147762 100 8 0.954242509439325 53 1.73239375982297 0.0932245127699993 24 1.39794000867204 2012 3.30384377488865 3.53901357911771 47 1.68124123737559 236 2.3747483460101 0.415112924787167 100 FALSE 1
163338 16614 238302 112538 8675 418 18775 6373 31184 0.99804386833054 0.855374550777522 0.851750624759292 0 3 6 NO NO 6244 3.79553244271015 31028 4.49176777940369 18.1255640067036 26.3793992522883 36.1705556271755 50.6864767306948 6177 3.79084790396543 29194 4.46530847958731 94.0892097460358 16.3218469548537 24.1899020346647 33.9145029800644 48.7086387613893 67 1.83250891270624 1834 3.26363606858811 5.91079025396416 98.8004362050164 100 8 0.954242509439325 61 1.79239168949825 0.196596622405569 24 1.39794000867204 1676 3.22453306260609 5.40157277297924 35 1.55630250076729 97 1.99122607569249 0.312620858579348 100 FALSE 1
280518 27337 434412 163389 13312 297 38584 9038 63268 0.999193905133844 0.845593348794716 0.859976471521706 0 3 6 NO NO 8799 3.94448267215017 63006 4.79938880171538 16.6888867726883 24.8674729390852 34.5046503507602 48.4318953750437 8714 3.94026739144601 59652 4.77563228959368 94.676697457385 15.1009186615704 22.8542211493328 32.3409106148998 46.5080801984845 85 1.93449845124357 3354 3.52569252450501 5.32330254261499 98.3303518187239 100 12 1.11394335230684 51 1.7160033436348 0.0809446719360061 24 1.39794000867204 3116 3.49373680227684 4.94556074024696 49 1.69897000433602 187 2.27415784926368 0.296797130432022 100 FALSE 1
266799 24440 412904 169932 14762 207 23647 8458 53537 0.999178138297032 0.855707267710983 0.85822872812658 0 3 6 NO NO 8246 3.91629599456313 53301 4.72674350494905 15.7445451304854 23.7781655128422 33.5265754863886 47.2430160784976 8174 3.91248776133232 51287 4.71001576387567 96.2214592596762 15.1461383976446 22.9648838887047 32.42342113986 46.1481467038431 72 1.86332286012046 2014 3.30427505047713 3.77854074032382 98.5600794438927 100 7 0.903089986991944 44 1.65321251377534 0.0825500459653665 24 1.39794000867204 1797 3.25478968739721 3.3714189227219 41 1.6232492903979 173 2.2405492482826 0.324571771636555 100 FALSE 1
381923 39380 599055 235307 16953 683 67281 9854 76658 0.998512875238264 0.84595215100238 0.8700591105874 0 3 6 NO NO 9583 3.98154680504524 76356 4.88284885700502 16.6116611661166 24.6516318298497 34.3103357954843 47.8495468594478 9493 3.97744922738234 71309 4.85315043644784 93.3901723505684 14.0865809364877 21.82473460573 31.383135368607 45.3028369490527 90 1.95904139232109 5047 3.70311934623608 6.60982764943161 98.2167624331286 100 10 1.04139268515822 114 2.06069784035361 0.149300644350149 26 1.43136376415899 4668 3.66922387393081 6.11346848970611 54 1.74036268949424 265 2.42488163663107 0.347058515375347 98.4905660377358 FALSE 1
3016 624 1035 757 41 0 132 624 818 0.999999987775061 0.810513437524286 0.911969291328957 0 2 7 NO NO 622 2.79448804665917 816 2.91222205653242 23.7745098039216 36.0294117647059 48.2843137254902 85.0490196078431 607 2.78390357927274 743 2.87157293554588 91.0539215686274 19.650067294751 31.7631224764468 45.2220726783311 85.5989232839839 15 1.20411998265592 73 1.86923171973098 8.94607843137255 100 100 0 0 0 0 0 13 1.14612803567824 71 1.85733249643127 8.70098039215686 2 0.477121254719662 2 0.477121254719662 0.245098039215686 100 FALSE 1
531802 45256 631379 316307 20363 244 35865 10518 94013 0.999340516630749 0.864274089661613 0.861561607271164 0 2 7 NO NO 10149 4.00646604224923 93614 4.97134544163656 15.4335889930993 23.2785694447412 32.9662230008332 46.7152349007627 10060 4.00264114900004 90389 4.95612038639302 96.5550024568975 15.1069267278098 22.707409087389 32.0558917567403 45.7677372246623 89 1.95424250943932 3225 3.50866436305294 3.44499754310253 98.015503875969 100 8 0.954242509439325 61 1.79239168949825 0.0651611938385284 26 1.43136376415899 2799 3.44715803134222 2.98993740252526 55 1.7481880270062 365 2.56348108539441 0.389898946738736 98.6301369863014 FALSE 1
173572 14649 226481 110539 6788 472 15058 6059 27794 0.997985176297767 0.8545369501135 0.853385315756884 0 2 7 NO NO 5958 3.77517338542479 27682 4.44221315272282 17.1591648002312 25.3775016256051 35.7813741781663 50.5201936276281 5891 3.77026273817059 26439 4.4222614508136 95.5097175059606 16.2146828548735 24.2293581451643 34.4377623964598 49.2908203789856 67 1.83250891270624 1243 3.0948203803548 4.49028249403945 98.6323411102172 100 10 1.04139268515822 56 1.75587485567249 0.202297521855357 23 1.38021124171161 1099 3.04139268515822 3.97008886641139 34 1.54406804435028 88 1.94939000664491 0.317896105772704 100 FALSE 1
232019 22084 323122 159825 8955 462 57073 7537 42885 0.99794800023366 0.828751311454179 0.876763232654021 0 2 7 NO NO 7389 3.86864443839483 42730 4.63074305638846 20.4469927451439 28.0856541071846 37.5380294874795 50.7676105780482 7312 3.86409557342425 38398 4.58431991446813 89.8619237069974 15.0476587322256 22.7043075160165 32.3844991926663 46.4242929319235 77 1.89209460269048 4332 3.63678868903438 10.1380762930026 99.2613111726685 100 10 1.04139268515822 88 1.94939000664491 0.205944301427568 27 1.44715803134222 4084 3.61119206086843 9.55768780716125 40 1.61278385671974 160 2.20682587603185 0.374444184413761 100 FALSE 1
329623 29285 494834 179821 16333 617 49556 9512 73088 0.998905428935132 0.839426444718774 0.85737729074851 0 2 7 NO NO 9249 3.96614173273903 72803 4.86215524099167 17.9278326442592 26.2832575580677 35.8913781025507 49.3825803881708 9164 3.96213246929824 68390 4.83499895394954 93.9384366028873 16.0023395233221 23.8558268752742 33.3045766924989 47.1150753034069 85 1.93449845124357 4413 3.64483232882564 6.06156339711276 98.8216632676184 100 11 1.07918124604762 80 1.90848501887865 0.109885581638119 27 1.44715803134222 4097 3.61257195406518 5.62751534964219 47 1.68124123737559 236 2.3747483460101 0.324162465832452 100 FALSE 1
120177 10168 172515 60903 6159 472 14362 5470 22713 0.996169594066759 0.854180424931017 0.864526542276871 0 5 4 NO NO 5354 3.72875947516787 22575 4.35364699641027 16.4651162790698 25.0099667774086 35.4462901439646 50.8305647840532 5295 3.72394797643164 21233 4.32703181302116 94.0553709856035 14.7176564781237 23.0207695568219 33.236000565158 48.9050063580276 59 1.77815125038364 1342 3.12807601266872 5.94462901439646 99.3293591654247 100 9 1 84 1.92941892571429 0.372093023255814 21 1.34242268082221 1181 3.07261747654524 5.23145071982281 29 1.47712125471966 77 1.89209460269048 0.341085271317829 100 FALSE 1
212120 17979 312250 137578 8249 259 38125 7175 40775 0.998724708522692 0.842918454728898 0.852899852139828 0 1 8 NO NO 7013 3.84596576154548 40609 4.60863298949004 18.6042502893447 27.0728163707553 37.2454382033539 51.3556108251865 6943 3.84160971216844 37924 4.57892558945877 93.3881651850575 16.2561966037338 24.4014344478431 34.4425693492248 48.9505326442358 70 1.85125834871908 2685 3.4291060083327 6.6118348149425 99.2551210428305 100 9 1 52 1.72427586960079 0.128050432170209 25 1.41497334797082 2522 3.40191725051757 6.21044596025512 36 1.56820172406699 111 2.04921802267018 0.273338422517176 100 FALSE 1
725364 72171 1205614 391343 36301 425 72646 12127 150304 0.999547583497475 0.861653715079994 0.862864537014016 0 1 8 NO NO 11592 4.06419583586464 149664 5.17512025001529 14.7971456061578 22.6654372460979 32.5696226213385 46.1286615351721 11494 4.0605089756053 144428 5.15965440428249 96.5014966859098 14.3836375218102 22.0109674024427 31.5707480543939 45.1096740244274 98 1.99563519459755 5236 3.71908257390149 3.49850331409023 97.7081741787624 100 12 1.11394335230684 68 1.83884909073726 0.0454351079751978 27 1.44715803134222 4619 3.66464197555613 3.08624652555057 59 1.77815125038364 549 2.74036268949424 0.366821680564464 98.3606557377049 FALSE 1
382094 38319 598138 218192 17891 391 36207 9760 79472 0.999144352602282 0.8591076101194 0.854804100210879 0 1 8 NO NO 9438 3.97492598608976 79114 4.89825883241842 15.5282250929039 23.7404252091918 33.7361276133175 47.5592183431504 9360 3.97132224524281 76247 4.88222845653875 96.3761154789291 15.0222303828347 23.0251682033391 32.6898107466523 46.4883864283185 78 1.89762709129044 2867 3.45757914699576 3.62388452107086 98.4304150680153 100 7 0.903089986991944 68 1.83884909073726 0.0859519174861592 24 1.39794000867204 2559 3.40823996531185 3.23457289481002 47 1.68124123737559 240 2.38201704257487 0.30335970877468 100 FALSE 1
7077 1056 4535 4409 96 0 445 782 1143 0.999999991251094 0.833770771358086 0.884506697229246 0 1 8 NO NO 772 2.88817949391832 1132 3.0542299098634 24.2049469964664 35.1590106007067 49.469964664311 75.9717314487633 754 2.87794695162919 1045 3.01953168453126 92.3144876325088 21.1483253588517 32.3444976076555 46.9856459330144 75.6937799043062 18 1.27875360095283 87 1.94448267215017 7.68551236749117 100 100 0 0 0 0 0 14 1.17609125905568 83 1.92427928606188 7.3321554770318 4 0.698970004336019 4 0.698970004336019 0.353356890459364 100 FALSE 1
475879 57526 594841 455989 18850 295 46848 9615 74146 0.999271707037565 0.85389636651284 0.857888374573359 0 1 8 NO NO 9317 3.9693227061122 73822 4.8681916899652 16.6887919590366 24.7947766248544 34.4504348297256 48.1468938798732 9235 3.96548392424514 70134 4.84593480132577 95.0041992901845 15.2793224399008 23.0915105369721 32.5377135198335 46.3797872643796 82 1.91907809237607 3688 3.5669086552268 4.9958007098155 98.7527114967462 100 10 1.04139268515822 54 1.74036268949424 0.0731489257944786 25 1.41497334797082 3389 3.53019969820308 4.590772398472 47 1.68124123737559 245 2.39093510710338 0.331879385549023 100 FALSE 1
25943 1679 29197 13731 572 319 3765 2322 5647 0.989729057925042 0.810164687780831 0.867538750595448 0 5 4 NO NO 2306 3.36304759452109 5629 3.75050839485135 21.6557114940487 30.0941552673654 41.4993782199325 60.1883105347309 2263 3.35487642251623 5032 3.70182693039714 89.3942085627998 16.7130365659777 25.1788553259141 37.1224165341812 57.1144674085851 43 1.64345267648619 597 2.77670118398841 10.6057914372002 100 100 13 1.14612803567824 58 1.77085201164214 1.03037839758394 19 1.30102999566398 525 2.72098574415374 9.32670101261325 11 1.07918124604762 14 1.17609125905568 0.24871202700302 100 FALSE 1
