"cell_name","wall_position","H1975","H2228","HCC827","poor_quality","traj","group"
"Mix4_F14","F14",1,8,0,"NO","NO","8_1_0"
"Mix4_F13","F13",1,8,0,"NO","NO","8_1_0"
"Mix4_F12","F12",1,8,0,"NO","NO","8_1_0"
"Mix4_F11","F11",1,8,0,"NO","NO","8_1_0"
"Mix4_F10","F10",2,0,7,"NO","NO","0_2_7"
"Mix4_F9","F9",2,0,7,"NO","NO","0_2_7"
"Mix4_F8","F8",2,0,7,"NO","NO","0_2_7"
"Mix4_F7","F7",2,0,7,"NO","NO","0_2_7"
"Mix4_F6","F6",2,0,7,"NO","NO","0_2_7"
"Mix4_F5","F5",2,2,5,"NO","YES","2_2_5"
"Mix4_F4","F4",2,2,5,"NO","YES","2_2_5"
"Mix4_F3","F3",2,2,5,"NO","YES","2_2_5"
"Mix4_F2","F2",2,2,5,"NO","YES","2_2_5"
"Mix4_F1","F1",2,2,5,"NO","YES","2_2_5"
"Mix4_G24","G24",2,2,5,"NO","YES","2_2_5"
"Mix4_G23","G23",2,2,5,"NO","YES","2_2_5"
"Mix4_G22","G22",2,2,5,"NO","YES","2_2_5"
"Mix4_G21","G21",2,2,5,"NO","YES","2_2_5"
"Mix4_G20","G20",2,2,5,"NO","YES","2_2_5"
"Mix4_G19","G19",2,2,5,"NO","YES","2_2_5"
"Mix4_G18","G18",2,2,5,"NO","YES","2_2_5"
"Mix4_G17","G17",2,2,5,"NO","YES","2_2_5"
"Mix4_G16","G16",2,2,5,"NO","YES","2_2_5"
"Mix4_G15","G15",2,2,5,"NO","YES","2_2_5"
"Mix4_G14","G14",2,2,5,"NO","YES","2_2_5"
"Mix4_G13","G13",2,2,5,"NO","YES","2_2_5"
"Mix4_G12","G12",2,2,5,"NO","YES","2_2_5"
"Mix4_G11","G11",2,2,5,"NO","YES","2_2_5"
"Mix4_G10","G10",2,2,5,"NO","YES","2_2_5"
"Mix4_G9","G9",2,5,2,"NO","YES","5_2_2"
"Mix4_G8","G8",2,5,2,"NO","YES","5_2_2"
"Mix4_G7","G7",2,5,2,"NO","YES","5_2_2"
"Mix4_G6","G6",2,5,2,"NO","YES","5_2_2"
"Mix4_G5","G5",2,5,2,"NO","YES","5_2_2"
"Mix4_G4","G4",2,5,2,"NO","YES","5_2_2"
"Mix4_G3","G3",2,5,2,"NO","YES","5_2_2"
"Mix4_G2","G2",2,5,2,"NO","YES","5_2_2"
"Mix4_G1","G1",2,5,2,"NO","YES","5_2_2"
"Mix4_H24","H24",2,5,2,"NO","YES","5_2_2"
"Mix4_H23","H23",2,5,2,"NO","YES","5_2_2"
"Mix4_H22","H22",2,5,2,"NO","YES","5_2_2"
"Mix4_H21","H21",2,5,2,"NO","YES","5_2_2"
"Mix4_H20","H20",2,5,2,"NO","YES","5_2_2"
"Mix4_H19","H19",2,5,2,"NO","YES","5_2_2"
"Mix4_H18","H18",2,5,2,"NO","YES","5_2_2"
"Mix4_H17","H17",2,5,2,"NO","YES","5_2_2"
"Mix4_H16","H16",2,5,2,"NO","YES","5_2_2"
"Mix4_H15","H15",2,5,2,"NO","YES","5_2_2"
"Mix4_H14","H14",2,5,2,"NO","YES","5_2_2"
"Mix4_H13","H13",2,7,0,"NO","NO","7_2_0"
"Mix4_H12","H12",2,7,0,"NO","NO","7_2_0"
"Mix4_H11","H11",2,7,0,"NO","NO","7_2_0"
"Mix4_H10","H10",2,7,0,"NO","NO","7_2_0"
"Mix4_H9","H9",2,7,0,"NO","NO","7_2_0"
"Mix4_H8","H8",3,0,6,"NO","NO","0_3_6"
"Mix4_H7","H7",3,0,6,"NO","NO","0_3_6"
"Mix4_H6","H6",3,0,6,"NO","NO","0_3_6"
"Mix4_H5","H5",3,0,6,"NO","NO","0_3_6"
"Mix4_H4","H4",3,0,6,"NO","NO","0_3_6"
"Mix4_H3","H3",3,3,3,"NO","YES","3_3_3"
"Mix4_H2","H2",3,3,3,"NO","YES","3_3_3"
"Mix4_H1","H1",3,3,3,"NO","YES","3_3_3"
"Mix4_I24","I24",3,3,3,"NO","YES","3_3_3"
"Mix4_I23","I23",3,3,3,"NO","YES","3_3_3"
"Mix4_I22","I22",3,3,3,"NO","YES","3_3_3"
"Mix4_I21","I21",3,3,3,"NO","YES","3_3_3"
"Mix4_I20","I20",3,3,3,"NO","YES","3_3_3"
"Mix4_I19","I19",3,3,3,"NO","YES","3_3_3"
"Mix4_I18","I18",3,3,3,"NO","YES","3_3_3"
"Mix4_I17","I17",3,3,3,"NO","YES","3_3_3"
"Mix4_I16","I16",3,3,3,"NO","YES","3_3_3"
"Mix4_I15","I15",3,3,3,"NO","YES","3_3_3"
"Mix4_I14","I14",3,3,3,"NO","YES","3_3_3"
"Mix4_I13","I13",3,3,3,"NO","YES","3_3_3"
"Mix4_I12","I12",3,3,3,"NO","YES","3_3_3"
"Mix4_I11","I11",3,3,3,"NO","YES","3_3_3"
"Mix4_I10","I10",3,3,3,"NO","YES","3_3_3"
"Mix4_I9","I9",3,3,3,"NO","YES","3_3_3"
"Mix4_I8","I8",3,3,3,"NO","YES","3_3_3"
"Mix4_I7","I7",3,6,0,"NO","NO","6_3_0"
"Mix4_I6","I6",3,6,0,"NO","NO","6_3_0"
"Mix4_I5","I5",3,6,0,"NO","NO","6_3_0"
"Mix4_I4","I4",3,6,0,"NO","NO","6_3_0"
"Mix4_I3","I3",3,6,0,"NO","NO","6_3_0"
"Mix4_I2","I2",4,0,5,"NO","NO","0_4_5"
"Mix4_I1","I1",4,0,5,"NO","NO","0_4_5"
"Mix4_J24","J24",4,0,5,"NO","NO","0_4_5"
"Mix4_J23","J23",4,0,5,"NO","NO","0_4_5"
"Mix4_J22","J22",4,0,5,"NO","NO","0_4_5"
"Mix4_J21","J21",4,5,0,"NO","NO","5_4_0"
"Mix4_J20","J20",4,5,0,"NO","NO","5_4_0"
"Mix4_J19","J19",4,5,0,"NO","NO","5_4_0"
"Mix4_J18","J18",4,5,0,"NO","NO","5_4_0"
"Mix4_J17","J17",4,5,0,"NO","NO","5_4_0"
"Mix4_J16","J16",5,0,4,"NO","NO","0_5_4"
"Mix4_J15","J15",5,0,4,"NO","NO","0_5_4"
"Mix4_J14","J14",5,0,4,"NO","NO","0_5_4"
"Mix4_J13","J13",5,0,4,"NO","NO","0_5_4"
"Mix4_J12","J12",5,0,4,"NO","NO","0_5_4"
"Mix4_J11","J11",5,2,2,"NO","YES","2_5_2"
"Mix4_J10","J10",5,2,2,"NO","YES","2_5_2"
"Mix4_J9","J9",5,2,2,"NO","YES","2_5_2"
"Mix4_J8","J8",5,2,2,"NO","YES","2_5_2"
"Mix4_J7","J7",5,2,2,"NO","YES","2_5_2"
"Mix4_J6","J6",5,2,2,"NO","YES","2_5_2"
"Mix4_J5","J5",5,2,2,"NO","YES","2_5_2"
"Mix4_J4","J4",5,2,2,"NO","YES","2_5_2"
"Mix4_J3","J3",5,2,2,"NO","YES","2_5_2"
"Mix4_J2","J2",5,2,2,"NO","YES","2_5_2"
"Mix4_J1","J1",5,2,2,"NO","YES","2_5_2"
"Mix4_K24","K24",5,2,2,"NO","YES","2_5_2"
"Mix4_K23","K23",5,2,2,"NO","YES","2_5_2"
"Mix4_K22","K22",5,2,2,"NO","YES","2_5_2"
"Mix4_K21","K21",5,2,2,"NO","YES","2_5_2"
"Mix4_K20","K20",5,2,2,"NO","YES","2_5_2"
"Mix4_K19","K19",5,2,2,"NO","YES","2_5_2"
"Mix4_K18","K18",5,2,2,"NO","YES","2_5_2"
"Mix4_K17","K17",5,2,2,"NO","YES","2_5_2"
"Mix4_K16","K16",5,2,2,"NO","YES","2_5_2"
"Mix4_K15","K15",5,4,0,"NO","NO","4_5_0"
"Mix4_K14","K14",5,4,0,"NO","NO","4_5_0"
"Mix4_K13","K13",5,4,0,"NO","NO","4_5_0"
"Mix4_K12","K12",5,4,0,"NO","NO","4_5_0"
"Mix4_K11","K11",5,4,0,"NO","NO","4_5_0"
"Mix4_K10","K10",6,0,3,"NO","NO","0_6_3"
"Mix4_K9","K9",6,0,3,"NO","NO","0_6_3"
"Mix4_K8","K8",6,0,3,"NO","NO","0_6_3"
"Mix4_K7","K7",6,0,3,"NO","NO","0_6_3"
"Mix4_K6","K6",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_K5","K5",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_K4","K4",6,0,3,"NO","NO","0_6_3"
"Mix4_K3","K3",6,3,0,"NO","NO","3_6_0"
"Mix4_K2","K2",6,3,0,"NO","NO","3_6_0"
"Mix4_K1","K1",6,3,0,"NO","NO","3_6_0"
"Mix4_L24","L24",6,3,0,"NO","NO","3_6_0"
"Mix4_L23","L23",6,3,0,"NO","NO","3_6_0"
"Mix4_L22","L22",7,0,2,"NO","NO","0_7_2"
"Mix4_L21","L21",7,0,2,"NO","NO","0_7_2"
"Mix4_L20","L20",7,0,2,"NO","NO","0_7_2"
"Mix4_L19","L19",7,0,2,"NO","NO","0_7_2"
"Mix4_L18","L18",7,0,2,"NO","NO","0_7_2"
"Mix4_L17","L17",7,1,1,"NO","YES","1_7_1"
"Mix4_L16","L16",7,1,1,"NO","YES","1_7_1"
"Mix4_L15","L15",7,1,1,"NO","YES","1_7_1"
"Mix4_L14","L14",7,1,1,"NO","YES","1_7_1"
"Mix4_L13","L13",7,1,1,"NO","YES","1_7_1"
"Mix4_L12","L12",7,1,1,"NO","YES","1_7_1"
"Mix4_L11","L11",7,1,1,"NO","YES","1_7_1"
"Mix4_L10","L10",7,1,1,"NO","YES","1_7_1"
"Mix4_L9","L9",7,1,1,"NO","YES","1_7_1"
"Mix4_L8","L8",7,1,1,"NO","YES","1_7_1"
"Mix4_L7","L7",7,1,1,"NO","YES","1_7_1"
"Mix4_L6","L6",7,1,1,"NO","YES","1_7_1"
"Mix4_L5","L5",7,1,1,"NO","YES","1_7_1"
"Mix4_L4","L4",7,1,1,"NO","YES","1_7_1"
"Mix4_L3","L3",7,1,1,"NO","YES","1_7_1"
"Mix4_L2","L2",7,1,1,"NO","YES","1_7_1"
"Mix4_L1","L1",7,1,1,"NO","YES","1_7_1"
"Mix4_M24","M24",7,1,1,"NO","YES","1_7_1"
"Mix4_M23","M23",7,1,1,"NO","YES","1_7_1"
"Mix4_M22","M22",7,1,1,"NO","YES","1_7_1"
"Mix4_M21","M21",7,2,0,"NO","NO","2_7_0"
"Mix4_M20","M20",7,2,0,"NO","NO","2_7_0"
"Mix4_M19","M19",7,2,0,"NO","NO","2_7_0"
"Mix4_M18","M18",7,2,0,"NO","NO","2_7_0"
"Mix4_M17","M17",7,2,0,"NO","NO","2_7_0"
"Mix4_M16","M16",8,0,1,"NO","NO","0_8_1"
"Mix4_M15","M15",8,0,1,"NO","NO","0_8_1"
"Mix4_M14","M14",8,0,1,"NO","NO","0_8_1"
"Mix4_M13","M13",8,0,1,"NO","NO","0_8_1"
"Mix4_M12","M12",8,0,1,"NO","NO","0_8_1"
"Mix4_M11","M11",8,1,0,"NO","NO","1_8_0"
"Mix4_M10","M10",8,1,0,"NO","NO","1_8_0"
"Mix4_M9","M9",8,1,0,"NO","NO","1_8_0"
"Mix4_M8","M8",8,1,0,"NO","NO","1_8_0"
"Mix4_M7","M7",8,1,0,"NO","NO","1_8_0"
"Mix4_M6","M6",9,0,0,"NO","YES","0_9_0"
"Mix4_M5","M5",9,0,0,"NO","YES","0_9_0"
"Mix4_M4","M4",9,0,0,"NO","YES","0_9_0"
"Mix4_M3","M3",9,0,0,"NO","YES","0_9_0"
"Mix4_M2","M2",9,0,0,"NO","YES","0_9_0"
"Mix4_M1","M1",9,0,0,"NO","YES","0_9_0"
"Mix4_N24","N24",9,0,0,"NO","YES","0_9_0"
"Mix4_N23","N23",9,0,0,"NO","YES","0_9_0"
"Mix4_N22","N22",9,0,0,"NO","YES","0_9_0"
"Mix4_N21","N21",9,0,0,"NO","YES","0_9_0"
"Mix4_N20","N20",9,0,0,"NO","YES","0_9_0"
"Mix4_N19","N19",9,0,0,"NO","YES","0_9_0"
"Mix4_N18","N18",9,0,0,"NO","YES","0_9_0"
"Mix4_N17","N17",9,0,0,"NO","YES","0_9_0"
"Mix4_N16","N16",9,0,0,"NO","YES","0_9_0"
"Mix4_N15","N15",9,0,0,"NO","YES","0_9_0"
"Mix4_N14","N14",9,0,0,"NO","YES","0_9_0"
"Mix4_N13","N13",9,0,0,"NO","YES","0_9_0"
"Mix4_N12","N12",9,0,0,"NO","YES","0_9_0"
"Mix4_N11","N11",9,0,0,"NO","YES","0_9_0"
"Mix4_N10","N10",1,1,1,"NO","NO","1_1_1"
"Mix4_N9","N9",1,1,1,"NO","NO","1_1_1"
"Mix4_N8","N8",1,1,1,"NO","NO","1_1_1"
"Mix4_N7","N7",1,1,1,"NO","NO","1_1_1"
"Mix4_N6","N6",1,1,1,"NO","NO","1_1_1"
"Mix4_N5","N5",1,1,1,"NO","NO","1_1_1"
"Mix4_N4","N4",1,1,1,"NO","NO","1_1_1"
"Mix4_N3","N3",1,1,1,"NO","NO","1_1_1"
"Mix4_N2","N2",1,1,1,"NO","NO","1_1_1"
"Mix4_N1","N1",1,1,1,"NO","NO","1_1_1"
"Mix4_P24","P24",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_P23","P23",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_P22","P22",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_P21","P21",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_P20","P20",3,3,3,"YES","NO","3_3_3"
"Mix4_P19","P19",3,3,3,"YES","NO","3_3_3"
"Mix4_P18","P18",3,3,3,"YES","NO","3_3_3"
"Mix4_P17","P17",3,3,3,"YES","NO","3_3_3"
"Mix4_P16","P16",3,3,3,"YES","NO","3_3_3"
"Mix4_P15","P15",3,3,3,"YES","NO","3_3_3"
"Mix4_P14","P14",3,3,3,"YES","NO","3_3_3"
"Mix4_P13","P13",3,3,3,"YES","NO","3_3_3"
"Mix4_P12","P12",3,3,3,"YES","NO","3_3_3"
"Mix4_P11","P11",3,3,3,"YES","NO","3_3_3"
"Mix4_P10","P10",3,3,3,"YES","NO","3_3_3"
"Mix4_P9","P9",3,3,3,"YES","NO","3_3_3"
"Mix4_P8","P8",3,3,3,"YES","NO","3_3_3"
"Mix4_P7","P7",3,3,3,"YES","NO","3_3_3"
"Mix4_P6","P6",3,3,3,"YES","NO","3_3_3"
"Mix4_P5","P5",3,3,3,"YES","NO","3_3_3"
"Mix4_P4","P4",3,3,3,"YES","NO","3_3_3"
"Mix4_P3","P3",3,3,3,"YES","NO","3_3_3"
"Mix4_P2","P2",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_P1","P1",NA,NA,NA,"NO","NO","NA_NA_NA"
