"cell_name","p_column","p_row","mix","H2228_prop","H1975_prop","HCC827_prop","mRNA_amount"
"M9","M",9,7,0.16,0.68,0.16,7.5
"M10","M",10,7,0.16,0.68,0.16,7.5
"M11","M",11,7,0.16,0.68,0.16,15
"M12","M",12,7,0.16,0.68,0.16,15
"M13","M",13,7,0.16,0.68,0.16,15
"M14","M",14,7,0.16,0.68,0.16,15
"M15","M",15,7,0.16,0.68,0.16,15
"M16","M",16,7,0.16,0.68,0.16,15
"M17","M",17,7,0.16,0.68,0.16,15
"M18","M",18,7,0.16,0.68,0.16,30
"M19","M",19,7,0.16,0.68,0.16,30
"M20","M",20,7,0.16,0.68,0.16,30
"M21","M",21,7,0.16,0.68,0.16,30
"M22","M",22,7,0.16,0.68,0.16,30
"M23","M",23,7,0.16,0.68,0.16,30
"M24","M",24,7,0.16,0.68,0.16,30
"N1","N",1,7,0.16,0.68,0.16,3.75
"N2","N",2,7,0.16,0.68,0.16,3.75
"N3","N",3,7,0.16,0.68,0.16,3.75
"N4","N",4,7,0.16,0.68,0.16,7.5
"N5","N",5,7,0.16,0.68,0.16,7.5
"N6","N",6,7,0.16,0.68,0.16,7.5
"N7","N",7,7,0.16,0.68,0.16,7.5
"N8","N",8,7,0.16,0.68,0.16,7.5
"N9","N",9,7,0.16,0.68,0.16,7.5
"N10","N",10,7,0.16,0.68,0.16,7.5
"N11","N",11,7,0.16,0.68,0.16,15
"N12","N",12,7,0.16,0.68,0.16,15
"N13","N",13,7,0.16,0.68,0.16,15
"N14","N",14,7,0.16,0.68,0.16,15
"N15","N",15,7,0.16,0.68,0.16,15
"N16","N",16,7,0.16,0.68,0.16,15
"N17","N",17,7,0.16,0.68,0.16,15
"N18","N",18,7,0.16,0.68,0.16,30
"N19","N",19,7,0.16,0.68,0.16,30
"N20","N",20,7,0.16,0.68,0.16,30
"N21","N",21,7,0.16,0.68,0.16,30
"N22","N",22,7,0.16,0.68,0.16,30
"N23","N",23,7,0.16,0.68,0.16,30
"N24","N",24,7,0.16,0.68,0.16,30
"O1","O",1,8,0.16,0.16,0.68,3.75
"O2","O",2,8,0.16,0.16,0.68,3.75
"O3","O",3,8,0.16,0.16,0.68,3.75
"O4","O",4,8,0.16,0.16,0.68,7.5
"O5","O",5,8,0.16,0.16,0.68,7.5
"O6","O",6,8,0.16,0.16,0.68,7.5
"O7","O",7,8,0.16,0.16,0.68,7.5
"O8","O",8,8,0.16,0.16,0.68,7.5
"O9","O",9,8,0.16,0.16,0.68,7.5
"O10","O",10,8,0.16,0.16,0.68,7.5
"O11","O",11,8,0.16,0.16,0.68,15
"O12","O",12,8,0.16,0.16,0.68,15
"O13","O",13,8,0.16,0.16,0.68,15
"O14","O",14,8,0.16,0.16,0.68,15
"O15","O",15,8,0.16,0.16,0.68,15
"O16","O",16,8,0.16,0.16,0.68,15
"O17","O",17,8,0.16,0.16,0.68,15
"O18","O",18,8,0.16,0.16,0.68,30
"O19","O",19,8,0.16,0.16,0.68,30
"O20","O",20,8,0.16,0.16,0.68,30
"O21","O",21,8,0.16,0.16,0.68,30
"O22","O",22,8,0.16,0.16,0.68,30
"O23","O",23,8,0.16,0.16,0.68,30
"O24","O",24,8,0.16,0.16,0.68,30
"P1","P",1,8,0.16,0.16,0.68,3.75
"P2","P",2,8,0.16,0.16,0.68,3.75
"P3","P",3,8,0.16,0.16,0.68,3.75
"P4","P",4,8,0.16,0.16,0.68,7.5
"P5","P",5,8,0.16,0.16,0.68,7.5
"P6","P",6,8,0.16,0.16,0.68,7.5
"P7","P",7,8,0.16,0.16,0.68,7.5
"P8","P",8,8,0.16,0.16,0.68,7.5
"P9","P",9,8,0.16,0.16,0.68,7.5
"P10","P",10,8,0.16,0.16,0.68,7.5
"P11","P",11,8,0.16,0.16,0.68,15
"P12","P",12,8,0.16,0.16,0.68,15
"P13","P",13,8,0.16,0.16,0.68,15
"P14","P",14,8,0.16,0.16,0.68,15
"P15","P",15,8,0.16,0.16,0.68,15
"P16","P",16,8,0.16,0.16,0.68,15
"P17","P",17,8,0.16,0.16,0.68,15
"P18","P",18,8,0.16,0.16,0.68,30
"P19","P",19,8,0.16,0.16,0.68,30
"P20","P",20,8,0.16,0.16,0.68,30
"P21","P",21,8,0.16,0.16,0.68,30
"P22","P",22,8,0.16,0.16,0.68,30
"P23","P",23,8,0.16,0.16,0.68,30
"P24","P",24,8,0.16,0.16,0.68,30
