unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_mt_percent non_ribo_percent outliers total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RaceID
64708 4069 184053 43631 5043 0 5902 8819 55891 0.847524646034688 0.914512011860226 FALSE 8330 3.92069713446992 55361 4.74321177099484 14.7793573092972 20.8648687704341 29.0692003395892 42.7882444320009 8266 3.91734793762777 53062 4.72479179986068 95.8472570943444 13.2674983981003 19.2831027854208 27.4697523651577 41.3535109871471 64 1.81291335664286 2299 3.36172783601759 4.15274290565561 99.3475424097434 19 1.30102999566398 2000 3.30124708863621 3.61265150557252 45 1.66275783168157 299 2.47712125471966 0.540091400083091 100 FALSE 1
68312 5014 179772 38179 5301 0 5430 8655 55654 0.843587163394619 0.883889588548965 FALSE 8106 3.90886017301728 55062 4.74085986938845 15.64599905561 22.7125785478188 31.5698666957248 45.7102902182994 8041 3.90536406876689 53047 4.72466901490395 96.340488903418 14.526740437725 21.5846324957114 30.3127415310951 44.6000716345882 65 1.81954393554187 2015 3.30449052777349 3.65951109658203 99.2059553349876 19 1.30102999566398 1764 3.24674470972384 3.20366132723112 46 1.67209785793572 251 2.40140054078154 0.455849769350914 100 FALSE 1
60299 5707 169223 59179 4143 0 5382 8330 49934 0.857491889122143 0.921896719290119 FALSE 7872 3.89614025144202 49424 4.69394667798571 16.4919876982842 22.5801230171577 30.8514082227258 44.735351246358 7805 3.89242854694523 47466 4.67639178439127 96.038361929427 15.2382758184806 21.2552142586272 29.4315931403531 43.4647958538743 67 1.83250891270624 1958 3.29203443599474 3.961638070573 98.9785495403473 20 1.32221929473392 1694 3.2291697025391 3.42748462285529 47 1.68124123737559 264 2.42324587393681 0.534153447717708 100 FALSE 1
62226 6211 161194 58026 4334 0 8086 8348 49167 0.852156934355939 0.908047896343503 FALSE 7838 3.89426066444699 48606 4.68669881746106 15.8889848989837 22.5383697485907 30.8974200715961 44.4924494918323 7773 3.89064453629525 45979 4.66256896693326 94.5953174505205 13.2951999826008 19.863415907262 28.3042258422323 42.241023075752 65 1.81954393554187 2627 3.41962536088774 5.40468254947949 99.42900647126 20 1.32221929473392 2431 3.3859635706007 5.00144015142163 45 1.66275783168157 196 2.29446622616159 0.403242398057853 100 FALSE 1
65300 4149 177811 28051 4986 0 4207 8695 56866 0.851492983355345 0.885133316017776 FALSE 8202 3.91397271155097 56324 4.75070120039587 15.5351182444429 22.5179319650593 31.8212484908742 45.6750230807471 8134 3.91035755727288 54611 4.73728808155402 96.9586677082594 14.8193587372507 21.8802072842468 31.0981304132867 44.9469887019099 68 1.83884909073726 1713 3.23401081758718 3.04133229174064 98.8324576765908 18 1.27875360095283 1421 3.15289959639375 2.52290320289752 50 1.70757017609794 292 2.46686762035411 0.518429088843122 100 FALSE 1
65664 4336 158039 41319 4168 0 6854 7981 50601 0.828125926201434 0.886919055568258 FALSE 7546 3.8777743499914 50141 4.70020165255082 17.0539079794978 24.4350930376339 33.4018069045292 48.0245707105961 7481 3.87401770386219 47668 4.67823604139553 95.0679084980355 15.4988671645548 22.5329361416464 31.4718469413443 46.3203826466393 65 1.81954393554187 2473 3.3933996952931 4.93209150196446 99.3934492519207 19 1.30102999566398 2266 3.35545152012652 4.51925569892902 46 1.67209785793572 207 2.31806333496276 0.41283580303544 100 FALSE 1
61037 5984 138259 56836 3682 0 4114 7848 41528 0.855471007307005 0.897081271170952 FALSE 7435 3.87133938109986 41079 4.61363043492524 15.6527666204143 22.2084276637698 30.8016261350082 44.5872586966577 7373 3.8677031332701 39478 4.59636614349146 96.102631514886 14.3928263843153 20.8749176756675 29.4214499214753 43.3507269871827 62 1.79934054945358 1601 3.20466251174822 3.89736848511405 99.2504684572142 20 1.32221929473392 1388 3.14270224573762 3.3788553762263 42 1.63346845557959 213 2.33041377334919 0.518513108887753 100 FALSE 1
60244 4939 157098 40986 4180 0 6830 8104 49169 0.844210783045372 0.891984605750655 FALSE 7701 3.88660351428671 48744 4.68793007472636 15.8686197275562 22.8828163466273 31.4623338257016 45.2240275726243 7631 3.88263836169604 46193 4.66458557001258 94.7665353684556 13.7791440261511 20.661139133635 29.1754161886 43.2403177970688 70 1.85125834871908 2551 3.40688067004912 5.2334646315444 98.9023912191298 23 1.38021124171161 2300 3.36191661866864 4.71852946003611 47 1.68124123737559 251 2.40140054078154 0.514935171508288 100 FALSE 1
59708 5215 156564 36383 3855 0 4574 7801 44724 0.853009569615193 0.910987185630269 FALSE 7319 3.86451108105839 44204 4.64547139490561 15.7949506831961 22.9481494887341 31.9111392634151 46.6631979006425 7259 3.86093662070009 42608 4.62950134176727 96.3894670165596 14.9713668794593 21.9536237326324 30.7383589936162 45.5970709725873 60 1.78532983501077 1596 3.20330491613848 3.61053298344041 99.3734335839599 17 1.25527250510331 1413 3.15044940946088 3.19654329924894 43 1.64345267648619 183 2.26481782300954 0.413989684191476 100 FALSE 1
52817 5122 131998 59962 3335 0 2306 7686 39128 0.868585156187747 0.928337525982027 FALSE 7270 3.86159414464387 38679 4.58748646541096 14.8375087256651 21.0760360919362 29.4138938442049 43.5507639804545 7206 3.85775452205944 37678 4.57609936810585 97.4120323689857 14.4487499336483 20.6858113487977 28.9505812410425 43.1047295504008 64 1.81291335664286 1001 3.00086772153123 2.58796763101425 98.6013986013986 18 1.27875360095283 785 2.89542254603941 2.0295250652809 46 1.67209785793572 216 2.33645973384853 0.558442565733344 100 FALSE 1
64108 4655 159827 20307 4763 0 5935 7803 50528 0.835813806041044 0.86975521102058 FALSE 7360 3.86693681773164 50049 4.69940408181534 18.3280385222482 26.6239085696018 36.0746468460908 50.5144957941218 7300 3.86338234844079 47886 4.68021763043881 95.6782353293772 17.2284174915424 25.3539656684626 34.6092803742221 49.2398613373429 60 1.78532983501077 2163 3.33525725643453 4.32176467062279 99.5376791493296 19 1.30102999566398 1938 3.28757780907871 3.87220523886591 41 1.6232492903979 225 2.3541084391474 0.449559431756878 100 FALSE 1
52035 3582 157960 33149 3628 0 3239 8182 46911 0.861674234004461 0.929632510576941 FALSE 7737 3.88862872538523 46431 4.66681739075764 15.7050246602485 21.8410113932502 30.1974973616765 44.3496801705757 7675 3.88513496606343 45061 4.65381046323531 97.0493851090866 15.0640243225849 21.0936286367369 29.4356538913917 43.6097734182553 62 1.79934054945358 1370 3.13703745478951 2.9506148909134 99.1240875912409 19 1.30102999566398 1167 3.06744284277638 2.51340699101893 43 1.64345267648619 203 2.3096301674259 0.437207899894467 100 FALSE 1
55255 3875 160144 23434 4547 0 6277 8456 48947 0.846078411170025 0.91402927369823 FALSE 7987 3.90243805619866 48430 4.6851234364221 16.1243031179021 22.3105513111708 30.1218253148875 43.5184802808177 7921 3.89883483806827 46213 4.66477356000855 95.422258930415 14.3855625040573 20.4120052798996 28.1241209183563 41.7869430679679 66 1.82607480270083 2217 3.34596154181314 4.57774106958497 99.1429860171403 22 1.36172783601759 1985 3.29797924415936 4.0986991534173 44 1.65321251377534 232 2.36735592102602 0.479041916167665 100 FALSE 1
55443 3748 136279 41255 3496 0 5030 7979 41017 0.835946070937429 0.900236267831322 FALSE 7565 3.87886633695673 40572 4.60823712097217 15.0916888494528 21.9042689539584 30.8784383318545 45.0828157349897 7506 3.87546641586639 38640 4.58704835710324 95.2380952380952 13.2945134575569 19.9922360248447 28.9829192546584 43.3876811594203 59 1.77815125038364 1932 3.28623185402855 4.76190476190476 99.5341614906832 20 1.32221929473392 1731 3.23854788768133 4.2664892043774 39 1.60205999132796 201 2.30535136944662 0.495415557527359 100 FALSE 1
53343 3413 147640 29261 4201 0 3794 8440 47009 0.846816566860215 0.905783806125677 FALSE 8000 3.90314427040954 46543 4.66786370390298 13.396214253486 19.7215478159981 28.2298089938337 42.378016028189 7940 3.89987519602101 44916 4.65241074209177 96.504307844359 12.4922076765518 18.6503695787693 27.1239647341705 41.3215780568172 60 1.78532983501077 1627 3.21165440055318 3.49569215564102 99.3853718500307 19 1.30102999566398 1362 3.13449585583467 2.92632619298283 41 1.6232492903979 265 2.42488163663107 0.569365962658187 100 FALSE 1
51020 4454 121932 53092 3236 0 5518 7497 36576 0.852526246486077 0.913084833474182 FALSE 7102 3.85144181467206 36133 4.55791604022211 16.8018155149033 23.5048293803448 32.2115517670827 46.2762571610439 7043 3.84781934729524 34191 4.53392450481999 94.6254116735394 14.4628703459975 21.1283671141528 29.8762832324296 44.2338627124097 59 1.77815125038364 1942 3.28847280059978 5.37458832646058 99.5365602471679 18 1.27875360095283 1766 3.24723654950676 4.88749896216755 41 1.6232492903979 176 2.24797326636181 0.487089364293029 100 FALSE 1
56345 3387 153676 14501 4333 0 5660 7612 47739 0.828714468080874 0.880726265584477 FALSE 7222 3.85871761486029 47324 4.67509062263583 17.8873298960358 25.3338686501564 34.13912602485 48.2714901529879 7156 3.85473101721394 45208 4.65522490076831 95.5286957991717 16.5413201203327 23.7944611573173 32.5207927800389 46.8700230047779 66 1.82607480270083 2116 3.32572085801941 4.47130420082833 99.2438563327032 21 1.34242268082221 1887 3.27600198996205 3.98740596737385 45 1.66275783168157 229 2.36172783601759 0.483898233454484 100 FALSE 1
56152 6440 141098 24693 4062 0 5737 8269 45618 0.830132842117118 0.895282367643832 FALSE 7724 3.88789848809687 45027 4.653482657417 15.6150753992049 22.3887889488529 30.8637039998223 44.7664734492638 7664 3.88451215919039 42843 4.63189001063862 95.1495769205144 13.7058562659011 20.3183717293373 28.7561561982121 42.9825175641295 60 1.78532983501077 2184 3.33945144130644 4.85042307948564 99.5421245421245 16 1.23044892137827 1980 3.29688447553855 4.39736158305017 44 1.65321251377534 204 2.31175386105575 0.453061496435472 100 FALSE 1
50461 4461 148150 23339 4542 0 3954 8451 47196 0.837041274506941 0.898804793032292 FALSE 7927 3.89916364147722 46633 4.66870266836941 13.3210387493835 19.5205112259559 27.5834709326014 41.6121630604936 7858 3.89536728877336 44986 4.65308703279911 96.468166319988 12.3682923576224 18.4412928466634 26.4282221135464 40.534833059174 69 1.84509804001426 1647 3.2169572073611 3.53183368001201 98.6035215543412 21 1.34242268082221 1351 3.13097669160562 2.8970900435314 48 1.69019608002851 296 2.47275644931721 0.634743636480604 100 FALSE 1
53114 3829 141013 27123 4220 0 1596 8017 44525 0.84514317780008 0.903559594933275 FALSE 7643 3.88332067838298 44126 4.6447044026855 14.057471785342 20.405203281512 28.8696006889362 42.9361374246476 7583 3.87989832433001 43260 4.63609655415676 98.0374382450256 13.9505316689783 20.3051317614424 28.705501618123 42.7392510402219 60 1.78532983501077 866 2.93801909747621 1.96256175497439 98.8452655889146 16 1.23044892137827 609 2.78532983501077 1.38013869374065 44 1.65321251377534 257 2.41161970596323 0.58242306123374 100 FALSE 1
48989 3155 137779 35355 3720 0 8293 8107 43834 0.843272345475368 0.914312881709887 FALSE 7704 3.88677264305444 43403 4.63752975480924 17.6185977927793 23.2587609151441 30.7029468009124 44.1697578508398 7635 3.88286591972163 40504 4.60750863650798 93.3207381978204 13.9912107446178 19.5684376851669 27.1429982223978 41.1959312660478 69 1.84509804001426 2899 3.46239799789896 6.67926180217957 99.3101069334253 19 1.30102999566398 2684 3.42894429003557 6.18390433840979 50 1.70757017609794 215 2.33445375115093 0.495357463769786 100 FALSE 1
55776 4207 130014 28734 3780 0 8620 7243 40024 0.833799719959574 0.888891442911392 FALSE 6856 3.83613414946537 39597 4.59767325130686 19.3322726469177 26.9919438341289 35.997676591661 50.0088390534636 6795 3.83225337019701 36807 4.56594222025674 92.9540116675506 15.9996739750591 23.5226994865107 32.5780422202298 47.1812426983998 61 1.79239168949825 2790 3.44575983648863 7.04598833244943 99.6057347670251 22 1.36172783601759 2651 3.42357351973274 6.69495163775033 39 1.60205999132796 139 2.14612803567824 0.351036694699093 100 FALSE 1
47630 3567 120858 45802 3165 0 3555 7243 36306 0.847793752865148 0.914421606780806 FALSE 6869 3.83695673705955 35917 4.55531214611481 15.9478798340619 22.7023415095916 31.7008658852354 46.0673218810034 6812 3.8333383889394 34497 4.53779391785179 96.0464404042654 14.8389715047685 21.5178131431719 30.405542510943 44.8647708496391 57 1.76342799356294 1420 3.15259407792747 3.95355959573461 99.5070422535211 20 1.32221929473392 1250 3.09725730969342 3.48024612300582 37 1.57978359661681 170 2.23299611039215 0.473313472728791 100 FALSE 1
49519 4661 116188 47064 3038 0 5111 7079 34815 0.851242280381662 0.895504553926597 FALSE 6739 3.82865989653532 34444 4.53712618908817 16.6618278945535 23.3596562536291 31.9010567878295 45.9325281616537 6677 3.82464641471835 32727 4.51491946649032 95.0150969689931 14.4528982185963 21.1568429736914 29.7185809881749 44.082867357228 62 1.79934054945358 1717 3.23502315949522 4.98490303100685 99.3011065812464 20 1.32221929473392 1550 3.19061179781361 4.50005806526536 42 1.63346845557959 167 2.22530928172586 0.484844965741493 100 FALSE 1
52360 3826 144284 15118 4339 0 4367 7898 45177 0.839254487717366 0.883900904464461 FALSE 7476 3.87372738064668 44711 4.65042409660785 14.6183265862987 21.5383239023954 30.6389926416318 45.335599740556 7416 3.87022827901179 43036 4.63384199014776 96.2537183243497 13.5212380332745 20.3596988567711 29.3614648201506 44.188586299842 60 1.78532983501077 1675 3.22427401429426 3.74628167565029 99.4029850746269 20 1.32221929473392 1494 3.17464119266045 3.34145959607255 40 1.61278385671974 181 2.26007138798507 0.404822079577733 100 FALSE 1
48881 2942 145882 15110 4154 0 2254 7871 45197 0.859437573100109 0.902316325792348 FALSE 7469 3.8733206018154 44762 4.65091918509012 15.0172020910594 22.0856976900049 31.3011036146732 45.7530941423529 7413 3.87005258169354 43820 4.64168228398522 97.8955363924758 14.8219990871748 21.8758557736194 31.036056595162 45.4586946599726 56 1.75587485567249 942 2.97451169273733 2.10446360752424 99.3630573248408 19 1.30102999566398 761 2.8819549713396 1.7001027657388 37 1.57978359661681 181 2.26007138798507 0.404360841785443 100 FALSE 1
44550 4019 121657 31941 2984 0 3290 7559 37372 0.851546612209262 0.907443832964831 FALSE 7180 3.85618492672717 36968 4.56783770320076 15.5891581908678 22.4491452066652 30.8834667820818 45.0957584938325 7118 3.852418992937 35705 4.55274120064844 96.5835317030946 14.7318302758717 21.4983895812911 29.8165523035989 44.1730850021005 62 1.79934054945358 1263 3.10174707394637 3.41646829690543 99.0498812351544 19 1.30102999566398 1065 3.02775720469055 2.88086994157109 43 1.64345267648619 198 2.29885307640971 0.535598355334343 100 FALSE 1
21861 1980 61905 13373 1450 0 2582 5322 18915 0.849537403727445 0.900237430485102 FALSE 5163 3.71298623359438 18748 4.27297810907368 16.4390868359292 23.8212075954768 32.9635161083849 47.861105184553 5115 3.70893053580662 17844 4.25151655229168 95.1781523362492 14.7892849136965 22.074646940148 31.1309123514907 46.2676529926026 48 1.69019608002851 904 2.9566485792052 4.8218476637508 100 15 1.20411998265592 788 2.89707700320942 4.20311499893322 33 1.53147891704226 116 2.06818586174616 0.61873266481758 100 FALSE 1
38700 4007 94117 61348 1936 0 3588 6614 27977 0.883475711876371 0.950566197031062 FALSE 6338 3.80202075177198 27682 4.44221315272282 21.3749006574669 26.425113792356 33.5416516147677 46.3369698721191 6280 3.79802879340407 26376 4.42122539934018 95.2821327938733 19.1461935092508 24.294813466788 31.5514103730664 44.6769790718835 58 1.77085201164214 1306 3.11627558758054 4.71786720612672 99.3874425727412 20 1.32221929473392 1121 3.04999285692014 4.04956289285456 38 1.5910646070265 185 2.26951294421792 0.668304313272162 100 FALSE 1
43977 3566 107657 40148 2982 0 4991 6772 32229 0.843867324197503 0.897824661694542 FALSE 6467 3.81077001123436 31906 4.5038859723322 16.7178587099605 23.6663950354165 32.08487431831 46.2922334357174 6411 3.80699351368211 30217 4.48026571686246 94.7063248291857 14.5977429923553 21.4283350431876 29.8209617102955 44.3591355859284 56 1.75587485567249 1689 3.22788670461367 5.29367517081427 99.6447602131439 17 1.25527250510331 1517 3.18127177155946 4.75459161286278 39 1.60205999132796 172 2.2380461031288 0.539083557951482 100 FALSE 1
38979 4078 103870 49884 2116 0 4952 6929 30005 0.862489584781707 0.947241810617627 FALSE 6616 3.8206611346436 29656 4.47212721717985 16.9240625843 22.8048287024548 31.1909900188832 44.7767736714324 6560 3.8169700377573 27981 4.44687875225453 94.3519018073914 14.4026303563132 20.2351595725671 28.6337157356778 42.5074157463993 56 1.75587485567249 1675 3.22427401429426 5.64809819260858 99.6417910447761 19 1.30102999566398 1508 3.17868923977559 5.0849743728082 37 1.57978359661681 167 2.22530928172586 0.563123819800378 100 FALSE 1
42229 2639 124064 23380 3333 0 2776 7416 38161 0.861481617132286 0.921830947346519 FALSE 7084 3.85033985458348 37810 4.57761816344397 16.0142819359958 22.5469452525787 31.1875165300185 46.1174292515208 7023 3.84658450289805 36581 4.56326744540556 96.7495371594816 15.3850359476231 21.8200705284164 30.3791585795905 45.3213416801072 61 1.79239168949825 1229 3.0899051114394 3.25046284051838 99.1049633848657 18 1.27875360095283 1011 3.00518051250378 2.67389579476329 43 1.64345267648619 218 2.34044411484012 0.576567045755091 100 FALSE 1
37912 3741 102492 46602 2284 0 3595 6943 30692 0.863482340393757 0.943144486138249 FALSE 6608 3.82013575187043 30333 4.48192968243021 17.6804140704843 23.2947614808954 31.0388026242047 44.8356575346982 6549 3.81624129999178 28958 4.46178356090977 95.466983153661 15.8643552731542 21.3619725119138 29.1145797361696 43.1694177774708 59 1.77815125038364 1375 3.13861843389949 4.53301684633897 99.3454545454545 19 1.30102999566398 1257 3.09968064110925 4.14400158243497 40 1.61278385671974 118 2.07554696139253 0.389015263903999 100 FALSE 1
43134 3002 118901 22764 3693 0 4057 7429 38485 0.839755748774911 0.894608056487448 FALSE 7082 3.85021724179839 38122 4.5811870690959 15.8543623104769 22.5748911389749 31.1867163317769 45.4803000891873 7017 3.84621336387939 36518 4.56251887673663 95.7924557998006 14.5407744126184 21.0690618325209 29.6593460759078 44.0933238402979 65 1.81954393554187 1604 3.20547503674089 4.20754420019936 99.0648379052369 20 1.32221929473392 1404 3.1476763242411 3.68291275379046 45 1.66275783168157 200 2.30319605742049 0.524631446408898 100 FALSE 1
38537 5304 103537 42397 2144 0 6456 7334 31737 0.862589406414409 0.935248783675589 FALSE 7016 3.84615147652882 31393 4.49684665393685 18.5200522409454 24.4067148727423 32.1695919472494 45.2361991526774 6962 3.84279639517558 29251 4.46615556475221 93.1768228585991 15.0251273460736 20.7719394208745 28.6007315989197 42.2173600902533 54 1.74036268949424 2142 3.33102217104183 6.82317714140095 99.813258636788 20 1.32221929473392 2017 3.30492116190089 6.42499920364412 34 1.54406804435028 125 2.10037054511756 0.398177937756825 100 FALSE 1
47322 3618 118571 20619 3336 0 6009 7094 37744 0.837166171885024 0.87931833422045 FALSE 6762 3.83013938742534 37387 4.57273223401768 17.7334367560917 25.1290555540696 34.1134618985209 48.4633696204563 6699 3.82607480270083 35167 4.5461476707434 94.062107149544 15.2927460403219 22.4898342195809 31.5011232121023 46.2592771632496 63 1.80617997398389 2220 3.34654855854847 5.93789285045604 99.4144144144144 21 1.34242268082221 2055 3.31302311032324 5.49656297643566 42 1.63346845557959 165 2.22010808804005 0.441329874020381 100 FALSE 1
42040 3394 109915 32555 2783 0 2678 7316 34082 0.853030925164887 0.904172025065423 FALSE 6972 3.84341966520492 33720 4.52790044519477 14.8606168446026 21.6548042704626 30.0860023724792 44.3238434163701 6911 3.83960372947084 32609 4.51335079880596 96.7052194543298 13.8397374957834 20.6660737833114 29.1023950443129 43.4051948848477 61 1.79239168949825 1111 3.04610478724604 3.29478054567023 99.009900990099 19 1.30102999566398 939 2.9731278535997 2.7846975088968 42 1.63346845557959 172 2.2380461031288 0.510083036773428 100 FALSE 1
44301 3429 120122 19636 3273 0 3968 7487 39475 0.842026598900056 0.893172667973992 FALSE 7142 3.85388065012454 39110 4.59229892024591 15.3208897980056 22.3037586295065 31.3065712094094 45.6226029148555 7079 3.85003325768977 37486 4.57388068620502 95.8476093070826 14.1279410980099 20.9865016272742 29.861815077629 44.3338846502694 63 1.80617997398389 1624 3.21085336531489 4.15239069291741 99.1995073891626 18 1.27875360095283 1396 3.14519640611418 3.56941958578369 45 1.66275783168157 228 2.35983548233989 0.582971107133725 100 FALSE 1
43102 3664 117588 21160 2801 0 6691 7478 37451 0.838829403530258 0.90232546465369 FALSE 7136 3.85351569675693 37085 4.56920999397547 16.0927598759606 22.9715518403667 31.1338816232978 44.8267493595793 7074 3.84972644419633 34798 4.54156676404078 93.8330861534313 13.245014081269 19.8402207023392 28.1194321512731 42.2553020288522 62 1.79934054945358 2287 3.35945602012099 6.16691384656869 99.4752951464801 20 1.32221929473392 2087 3.31973049433022 5.62761224214642 42 1.63346845557959 200 2.30319605742049 0.539301604422273 100 FALSE 1
